ik,level5,level1_description,level2_description,level3_description,IK14
JRWZLRBJNMZMFE-UHFFFAOYSA-N,C01CA07,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,JRWZLRBJNMZMFE
SDUQYLNIPVEERB-QPPQHZFASA-N,L01BC05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,SDUQYLNIPVEERB
OROGSEYTTFOCAN-DNJOTXNNSA-N,N02AA79,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,OROGSEYTTFOCAN
SUBDBMMJDZJVOS-DEOSSOPVSA-N,A02BC05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),SUBDBMMJDZJVOS
XTULMSXFIHGYFS-VLSRWLAYSA-N,R01AD12,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,XTULMSXFIHGYFS
WDDPHFBMKLOVOX-AYQXTPAHSA-N,L01BB06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,WDDPHFBMKLOVOX
IQFYYKKMVGJFEH-CSMHCCOUSA-N,J05AF11,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,IQFYYKKMVGJFEH
SHGAZHPCJJPHSC-XFYACQKRSA-N,D10AD54,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,SHGAZHPCJJPHSC
VAAUVRVFOQPIGI-SPQHTLEESA-N,J01DD04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,VAAUVRVFOQPIGI
MCGSCOLBFJQGHM-SCZZXKLOSA-N,J05AF06,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,MCGSCOLBFJQGHM
MBUVEWMHONZEQD-UHFFFAOYSA-N,R06AX19,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,MBUVEWMHONZEQD
MBUVEWMHONZEQD-UHFFFAOYSA-N,S01GX07,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,MBUVEWMHONZEQD
PTOAARAWEBMLNO-KVQBGUIXSA-N,L04AA40,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,PTOAARAWEBMLNO
HXHWSAZORRCQMX-UHFFFAOYSA-N,P02CA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,HXHWSAZORRCQMX
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,L01BA04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,WBXPDJSOTKVWSJ
OOGJQPCLVADCPB-HXUWFJFHSA-N,G04BD07,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,OOGJQPCLVADCPB
TTWJBBZEZQICBI-UHFFFAOYSA-N,A03FA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,TTWJBBZEZQICBI
XWLUWCNOOVRFPX-UHFFFAOYSA-N,N03AB05,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,XWLUWCNOOVRFPX
NNJVILVZKWQKPM-UHFFFAOYSA-N,R02AD02,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,NNJVILVZKWQKPM
UCTWMZQNUQWSLP-VIFPVBQESA-N,R01AA14,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,UCTWMZQNUQWSLP
NETZHAKZCGBWSS-CEDHKZHLSA-N,N02AF02,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,NETZHAKZCGBWSS
HDACQVRGBOVJII-JBDAPHQKSA-N,C09AA05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN",HDACQVRGBOVJII
QZZUEBNBZAPZLX-QFIPXVFZSA-N,R03AC18,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",QZZUEBNBZAPZLX
LUZRJRNZXALNLM-JGRZULCMSA-N,N02CA01,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,LUZRJRNZXALNLM
STECJAGHUSJQJN-FWXGHANASA-N,S01FA02,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,STECJAGHUSJQJN
NXFQHRVNIOXGAQ-YCRREMRBSA-N,J01XE01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,NXFQHRVNIOXGAQ
OIGNJSKKLXVSLS-VWUMJDOOSA-N,D07XA02,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,R01AD02,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,OIGNJSKKLXVSLS
PJHKBYALYHRYSK-UHFFFAOYSA-N,A16AX17,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,PJHKBYALYHRYSK
YQNQNVDNTFHQSW-UHFFFAOYSA-N,P01AX11,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,YQNQNVDNTFHQSW
SONNWYBIRXJNDC-VIFPVBQESA-N,R01BA53,RESPIRATORY SYSTEM,NASAL PREPARATIONS,NASAL DECONGESTANTS FOR SYSTEMIC USE,SONNWYBIRXJNDC
MVWVFYHBGMAFLY-UHFFFAOYSA-N,N05AE04,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,MVWVFYHBGMAFLY
QYSPLQLAKJAUJT-UHFFFAOYSA-N,M01AC01,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",QYSPLQLAKJAUJT
OFCNXPDARWKPPY-UHFFFAOYSA-N,M04AA01,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,OFCNXPDARWKPPY
WSNODXPBBALQOF-VEJSHDCNSA-N,S01EE05,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,WSNODXPBBALQOF
JYGXADMDTFJGBT-VWUMJDOOSA-N,D07XA01,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",JYGXADMDTFJGBT
JYGXADMDTFJGBT-VWUMJDOOSA-N,S01BA02,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,JYGXADMDTFJGBT
YFGHCGITMMYXAQ-LJQANCHMSA-N,N06BA13,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",YFGHCGITMMYXAQ
VHRSUDSXCMQTMA-PJHHCJLFSA-N,D07AA01,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",VHRSUDSXCMQTMA
DCOPUUMXTXDBNB-UHFFFAOYSA-N,D11AX18,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,DCOPUUMXTXDBNB
FNHKPVJBJVTLMP-UHFFFAOYSA-N,L01EX05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,FNHKPVJBJVTLMP
UREBDLICKHMUKA-DVTGEIKXSA-N,D07XC01,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",UREBDLICKHMUKA
UREBDLICKHMUKA-DVTGEIKXSA-N,H02AB01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",UREBDLICKHMUKA
UREBDLICKHMUKA-DVTGEIKXSA-N,S02BA07,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,UREBDLICKHMUKA
KRMDCWKBEZIMAB-UHFFFAOYSA-N,N06AA09,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,KRMDCWKBEZIMAB
VWPOSFSPZNDTMJ-UHFFFAOYSA-N,C07AA12,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,VWPOSFSPZNDTMJ
KPYSYYIEGFHWSV-UHFFFAOYSA-N,M03BX01,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",KPYSYYIEGFHWSV
QPFYXYFORQJZEC-FOCLMDBBSA-N,G04BX06,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,QPFYXYFORQJZEC
GGXICVAJURFBLW-CEYXHVGTSA-N,S01EE01,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,GGXICVAJURFBLW
KFQYTPMOWPVWEJ-INIZCTEOSA-N,N04BC09,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,KFQYTPMOWPVWEJ
NNYBQONXHNTVIJ-UHFFFAOYSA-N,M01AB08,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",NNYBQONXHNTVIJ
POZRVZJJTULAOH-LHZXLZLDSA-N,G03XA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,POZRVZJJTULAOH
LQBVNQSMGBZMKD-UHFFFAOYSA-N,L01XX52,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,LQBVNQSMGBZMKD
DNHPDWGIXIMXSA-CXNSMIOJSA-N,A06AX08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,DNHPDWGIXIMXSA
DRLFMBDRBRZALE-UHFFFAOYSA-N,N05CH01,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,DRLFMBDRBRZALE
WYQFJHHDOKWSHR-MNOVXSKESA-N,L04AF03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,WYQFJHHDOKWSHR
MFBCDACCJCDGBA-UHFFFAOYSA-N,D10AD06,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,MFBCDACCJCDGBA
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,H02CA04,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,ANTIADRENAL PREPARATIONS,XMAYWYJOQHXEEK
USUZGMWDZDXMDG-CYBMUJFWSA-N,H02CA02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,ANTIADRENAL PREPARATIONS,USUZGMWDZDXMDG
NLVFBUXFDBBNBW-PBSUHMDJSA-N,J01GB01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMINOGLYCOSIDE ANTIBACTERIALS,NLVFBUXFDBBNBW
DKYWVDODHFEZIM-UHFFFAOYSA-N,M01AE03,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DKYWVDODHFEZIM
KWGRBVOPPLSCSI-WPRPVWTQSA-N,R01AB05,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,KWGRBVOPPLSCSI
DQCKKXVULJGBQN-XFWGSAIBSA-N,N07BB04,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,DQCKKXVULJGBQN
WWYNJERNGUHSAO-XUDSTZEESA-N,G03AD01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,WWYNJERNGUHSAO
KAQKFAOMNZTLHT-OZUDYXHBSA-N,B01AC09,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,KAQKFAOMNZTLHT
FKRSSPOQAMALKA-CUPIEXAXSA-N,J05AP07,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,FKRSSPOQAMALKA
YALNUENQHAQXEA-UHFFFAOYSA-N,M09AX14,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,YALNUENQHAQXEA
DMNOVGJWPASQDL-OAQYLSRUSA-N,N02AX07,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,DMNOVGJWPASQDL
XHOLNRLADUSQLD-UHFFFAOYSA-N,B01AF04,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,XHOLNRLADUSQLD
SJVQHLPISAIATJ-ZDUSSCGKSA-N,L01EM04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,SJVQHLPISAIATJ
PZBCKZWLPGJMAO-UHFFFAOYSA-N,L01EM02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,PZBCKZWLPGJMAO
SPMVMDHWKHCIDT-UHFFFAOYSA-N,L01EK03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,SPMVMDHWKHCIDT
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,C01EB18,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,XKLMZUWKNUAPSZ
UGJMXCAKCUNAIE-UHFFFAOYSA-N,N02BF01,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,UGJMXCAKCUNAIE
VNFPBHJOKIVQEB-UHFFFAOYSA-N,G01AF02,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",VNFPBHJOKIVQEB
WYWIFABBXFUGLM-UHFFFAOYSA-N,S01GA04,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,WYWIFABBXFUGLM
YKPUWZUDDOIDPM-SOFGYWHQSA-N,N01BX04,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",YKPUWZUDDOIDPM
GPXBXXGIAQBQNI-UHFFFAOYSA-N,L01EC01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,GPXBXXGIAQBQNI
DYKFCLLONBREIL-KVUCHLLUSA-N,A01AB23,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,DYKFCLLONBREIL
FJLBFSROUSIWMA-UHFFFAOYSA-N,V04CD01,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,FJLBFSROUSIWMA
RMMXLENWKUUMAY-UHFFFAOYSA-N,C09CA07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",RMMXLENWKUUMAY
HGVDHZBSSITLCT-JLJPHGGASA-N,B01AF03,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,HGVDHZBSSITLCT
KBOPZPXVLCULAV-UHFFFAOYSA-N,A07EC02,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,KBOPZPXVLCULAV
HEFNNWSXXWATRW-JTQLQIEISA-N,M01AE14,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",HEFNNWSXXWATRW
RKUNBYITZUJHSG-SPUOUPEWSA-N,S01FA01,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,RKUNBYITZUJHSG
KORNTPPJEAJQIU-KJXAQDMKSA-N,N04BC06,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,KORNTPPJEAJQIU
XMAYWYJOQHXEEK-UHFFFAOYSA-N,G01AF11,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",XMAYWYJOQHXEEK
XMAYWYJOQHXEEK-UHFFFAOYSA-N,H02CA03,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,ANTIADRENAL PREPARATIONS,XMAYWYJOQHXEEK
QXWYKJLNLSIPIN-JGVFFNPUSA-N,C01CA27,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,QXWYKJLNLSIPIN
ZPMNHBXQOOVQJL-UHFFFAOYSA-N,A06AX05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ZPMNHBXQOOVQJL
GHASVSINZRGABV-UHFFFAOYSA-N,L01BC52,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,GHASVSINZRGABV
IUBSYMUCCVWXPE-UHFFFAOYSA-N,C07AB02,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,IUBSYMUCCVWXPE
JGPMMRGNQUBGND-UHFFFAOYSA-N,N06BX13,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",JGPMMRGNQUBGND
KSGXQBZTULBEEQ-UHFFFAOYSA-N,B01AE07,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,KSGXQBZTULBEEQ
JYTNQNCOQXFQPK-MRXNPFEDSA-N,N05CJ01,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,JYTNQNCOQXFQPK
NFBAXHOPROOJAW-UHFFFAOYSA-N,B01AA02,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,NFBAXHOPROOJAW
XYFPWWZEPKGCCK-GOSISDBHSA-N,L01EL01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,XYFPWWZEPKGCCK
UREBDLICKHMUKA-CXSFZGCWSA-N,A01AC02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,UREBDLICKHMUKA
QRXWMOHMRWLFEY-UHFFFAOYSA-N,J04AC51,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,QRXWMOHMRWLFEY
LEBVLXFERQHONN-UHFFFAOYSA-N,N01BB01,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",LEBVLXFERQHONN
LEBVLXFERQHONN-UHFFFAOYSA-N,N01BB51,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",LEBVLXFERQHONN
CUHVIMMYOGQXCV-NSHDSACASA-N,N05CM18,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,CUHVIMMYOGQXCV
TYNLGDBUJLVSMA-UHFFFAOYSA-N,M01AX21,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",TYNLGDBUJLVSMA
RKUNBYITZUJHSG-FXUDXRNXSA-N,A03BA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN",RKUNBYITZUJHSG
HEFNNWSXXWATRW-UHFFFAOYSA-N,M02AA13,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,HEFNNWSXXWATRW
GGXKWVWZWMLJEH-UHFFFAOYSA-N,S01AD07,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,GGXKWVWZWMLJEH
SYTBZMRGLBWNTM-UHFFFAOYSA-N,S01BC04,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,SYTBZMRGLBWNTM
UIAGMCDKSXEBJQ-UHFFFAOYSA-N,C08CA06,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,UIAGMCDKSXEBJQ
UHTHHESEBZOYNR-UHFFFAOYSA-N,L01EX04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,UHTHHESEBZOYNR
VDHAWDNDOKGFTD-MRXNPFEDSA-N,H05BX01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CALCIUM HOMEOSTASIS,ANTI-PARATHYROID AGENTS,VDHAWDNDOKGFTD
LOUPRKONTZGTKE-LHHVKLHASA-N,C01BA51,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",LOUPRKONTZGTKE
XUFQPHANEAPEMJ-UHFFFAOYSA-N,A02BA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),XUFQPHANEAPEMJ
XTULMSXFIHGYFS-VLSRWLAYSA-N,R03BA09,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",XTULMSXFIHGYFS
GFNANZIMVAIWHM-OBYCQNJPSA-N,D07XB02,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",GFNANZIMVAIWHM
ZKMNUMMKYBVTFN-HNNXBMFYSA-N,N01BB09,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",ZKMNUMMKYBVTFN
VAAUVRVFOQPIGI-SPQHTLEESA-N,J01DD54,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,VAAUVRVFOQPIGI
WHQCHUCQKNIQEC-UHFFFAOYSA-N,M04AB03,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,WHQCHUCQKNIQEC
UZHSEJADLWPNLE-GRGSLBFTSA-N,V03AB15,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,UZHSEJADLWPNLE
PWKSKIMOESPYIA-BYPYZUCNSA-N,R05CB01,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",PWKSKIMOESPYIA
TZXKOCQBRNJULO-UHFFFAOYSA-N,V03AC02,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,TZXKOCQBRNJULO
FGXWKSZFVQUSTL-UHFFFAOYSA-N,A03FA03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,FGXWKSZFVQUSTL
KUVIULQEHSCUHY-XYWKZLDCSA-N,D07AC15,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",KUVIULQEHSCUHY
KUVIULQEHSCUHY-XYWKZLDCSA-N,R01AD01,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,KUVIULQEHSCUHY
GKCBAIGFKIBETG-UHFFFAOYSA-N,C05AD02,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,GKCBAIGFKIBETG
