ik,level5,level1_description,level2_description,level3_description,IK14
OJLOPKGSLYJEMD-URPKTTJQSA-N,G02AD06,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,OJLOPKGSLYJEMD
PTKSEFOSCHHMPD-UHFFFAOYSA-N,C01CA17,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,PTKSEFOSCHHMPD
IFSDAJWBUCMOAH-HNNXBMFYSA-N,L01EM01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,IFSDAJWBUCMOAH
VERWOWGGCGHDQE-UHFFFAOYSA-N,L01ED02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,VERWOWGGCGHDQE
MKJIEFSOBYUXJB-LIJFRPJRSA-N,N07XX16,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,MKJIEFSOBYUXJB
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,J05AX27,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,ZCGNOVWYSGBHAU
YREYEVIYCVEVJK-RUZDIDTESA-N,A02BC07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),YREYEVIYCVEVJK
FWYSMLBETOMXAG-QHCPKHFHSA-N,J05AX18,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,FWYSMLBETOMXAG
ITRJWOMZKQRYTA-RFZYENFJSA-N,S01BA03,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,ITRJWOMZKQRYTA
NMUSYJAQQFHJEW-KVTDHHQDSA-N,L01BC07,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,NMUSYJAQQFHJEW
KWGRBVOPPLSCSI-WPRPVWTQSA-N,C01CA26,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,KWGRBVOPPLSCSI
KQKPFRSPSRPDEB-UHFFFAOYSA-N,N02CC01,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,KQKPFRSPSRPDEB
TUZYXOIXSAXUGO-PZAWKZKUSA-N,C10AA03,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",TUZYXOIXSAXUGO
PDGKHKMBHVFCMG-UHFFFAOYSA-N,V03AF12,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,PDGKHKMBHVFCMG
DBPPRLRVDVJOCL-FQRUVTKNSA-N,J01DI04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,DBPPRLRVDVJOCL
FSVJFNAIGNNGKK-KRWDZBQOSA-N,P02BA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,FSVJFNAIGNNGKK
QMPBBNUOBOFBFS-UHFFFAOYSA-N,J05AE16,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,QMPBBNUOBOFBFS
VSWBSWWIRNCQIJ-UHFFFAOYSA-N,N05AH05,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,VSWBSWWIRNCQIJ
ZXERDUOLZKYMJM-ZWECCWDJSA-N,A05AA04,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,ZXERDUOLZKYMJM
JOOXLOJCABQBSG-UHFFFAOYSA-N,L01EJ02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,JOOXLOJCABQBSG
GKDRMWXFWHEQQT-UHFFFAOYSA-N,B02BX09,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,GKDRMWXFWHEQQT
XEDHVZKDSYZQBF-UHFFFAOYSA-N,N02CC08,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,XEDHVZKDSYZQBF
SDEAXTCZPQIFQM-UHFFFAOYSA-N,L01EH03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,SDEAXTCZPQIFQM
UJVDJAPJQWZRFR-DHIUTWEWSA-N,V04CD06,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,UJVDJAPJQWZRFR
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,J01CA04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",LSQZJLSUYDQPKJ
RMRJXGBAOAMLHD-CTAPUXPBSA-N,N07BC01,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,RMRJXGBAOAMLHD
YFGHCGITMMYXAQ-UHFFFAOYSA-N,N06BA07,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",YFGHCGITMMYXAQ
VNFPBHJOKIVQEB-UHFFFAOYSA-N,A01AB18,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,VNFPBHJOKIVQEB
MYSWGUAQZAJSOK-UHFFFAOYSA-N,J01MA02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,MYSWGUAQZAJSOK
DBABZHXKTCFAPX-UHFFFAOYSA-N,M04AB01,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,DBABZHXKTCFAPX
XZWYZXLIPXDOLR-UHFFFAOYSA-N,A10BA02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",XZWYZXLIPXDOLR
GYDJEQRTZSCIOI-LJGSYFOKSA-N,B02AA02,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,GYDJEQRTZSCIOI
TXEIIPDJKFWEEC-UHFFFAOYSA-N,N07XX08,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,TXEIIPDJKFWEEC
