ik14,target_gene,action_type,mechanism_of_action
GJPICJJJRGTNOD,EDNRA,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
VHOGYURTWQBHIL,DHODH,INHIBITOR,Dihydroorotate dehydrogenase inhibitor
MEZLKOACVSPNER,MAOB,INHIBITOR,Monoamine oxidase B inhibitor
UTNUDOFZCWSZMS,DHODH,INHIBITOR,Dihydroorotate dehydrogenase inhibitor
FEBLZLNTKCEFIT,NR3C1,AGONIST,Glucocorticoid receptor agonist
XNKLLVCARDGLGL,pol,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
CXOXHMZGEKVPMT,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
CXOXHMZGEKVPMT,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
WTDRDQBEARUVNC,DRD3,AGONIST,Dopamine D3 receptor agonist
GHOSNRCGJFBJIB,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
HTQMVQVXFRQIKW,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
RMMXLENWKUUMAY,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
UQRORFVVSGFNRO,UGCG,INHIBITOR,Ceramide glucosyltransferase inhibitor
QYSXJUFSXHHAJI,VDR,AGONIST,Vitamin D receptor agonist
GGXICVAJURFBLW,PTGFR,AGONIST,Prostanoid FP receptor agonist
JIVPVXMEBJLZRO,SLC12A3,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor
AYXYPKUFHZROOJ,CACNA1H,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA2D1,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1C,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA2D3,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1S,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA2D2,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1D,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1A,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1B,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1G,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA2D4,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1I,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1F,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNA1E,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNB4,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNB2,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNB1,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNB3,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG7,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG5,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG2,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG4,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG8,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG3,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG6,MODULATOR,Voltage-gated calcium channel modulator
AYXYPKUFHZROOJ,CACNG1,MODULATOR,Voltage-gated calcium channel modulator
RYMZZMVNJRMUDD,HMGCR,INHIBITOR,HMG-CoA reductase inhibitor
ACWBQPMHZXGDFX,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
MAEIEVLCKWDQJH,SLC12A1,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor
QIALRBLEEWJACW,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
QIALRBLEEWJACW,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
LSQZJLSUYDQPKJ,dacB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,ftsI,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,mrcA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,mrcB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,dacA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,mrdA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LSQZJLSUYDQPKJ,dacC,INHIBITOR,Bacterial penicillin-binding protein inhibitor
LEBVLXFERQHONN,SCN4A,BLOCKER,Sodium channel protein type IV alpha subunit blocker
OUJTZYPIHDYQMC,EDNRB,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
OUJTZYPIHDYQMC,EDNRA,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
KWIUHFFTVRNATP,BHMT,SUBSTRATE,Betaine-homocysteine S-methyltransferase substrate
KWIUHFFTVRNATP,BHMT2,SUBSTRATE,Betaine-homocysteine S-methyltransferase substrate
KYYIDSXMWOZKMP,SLC6A4,INHIBITOR,Serotonin transporter inhibitor
KYYIDSXMWOZKMP,SLC6A2,INHIBITOR,Norepinephrine transporter inhibitor
OLNTVTPDXPETLC,NPC1L1,INHIBITOR,Niemann-Pick C1-like protein 1 inhibitor
NGBFQHCMQULJNZ,SLC12A1,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor
LRJOMUJRLNCICJ,NR3C1,AGONIST,Glucocorticoid receptor agonist
WOFMFGQZHJDGCX,NR3C1,AGONIST,Glucocorticoid receptor agonist
VIKNJXKGJWUCNN,PGR,AGONIST,Progesterone receptor agonist
KXNPVXPOPUZYGB,F2,INHIBITOR,Thrombin inhibitor
HDACQVRGBOVJII,ACE,INHIBITOR,Angiotensin-converting enzyme inhibitor
ZPMNHBXQOOVQJL,HTR4,AGONIST,Serotonin 4 (5-HT4) receptor agonist
JAUOIFJMECXRGI,HRH1,ANTAGONIST,Histamine H1 receptor antagonist
CZKPOZZJODAYPZ,ITGB3,INHIBITOR,Integrin alpha-IIb/beta-3 inhibitor
CZKPOZZJODAYPZ,ITGA2B,INHIBITOR,Integrin alpha-IIb/beta-3 inhibitor
MKJIEFSOBYUXJB,SLC18A2,INHIBITOR,Synaptic vesicular amine transporter inhibitor
MVFGUOIZUNYYSO,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
MVFGUOIZUNYYSO,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
YRVIKLBSVVNSHF,CHRNB2,PARTIAL AGONIST,Nicotinic acetylcholine receptor alpha4/beta2/alpha5 partial agonist
YRVIKLBSVVNSHF,CHRNA4,PARTIAL AGONIST,Nicotinic acetylcholine receptor alpha4/beta2/alpha5 partial agonist
YRVIKLBSVVNSHF,CHRNA5,PARTIAL AGONIST,Nicotinic acetylcholine receptor alpha4/beta2/alpha5 partial agonist
YRVIKLBSVVNSHF,CHRNA6,PARTIAL AGONIST,Neuronal acetylcholine receptor; alpha6/beta2 partial agonist
GBBSUAFBMRNDJC,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GBBSUAFBMRNDJC,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; agonist GABA site positive allosteric modulator
GYHCTFXIZSNGJT,AVPR2,ANTAGONIST,Vasopressin V2 receptor antagonist
XIQVNETUBQGFHX,CHRM3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist
XIQVNETUBQGFHX,CHRM2,ANTAGONIST,Muscarinic acetylcholine receptor M2 antagonist
SYOKIDBDQMKNDQ,DPP4,INHIBITOR,Dipeptidyl peptidase IV inhibitor
HRRBJVNMSRJFHQ,ADRA1D,ANTAGONIST,Alpha-1d adrenergic receptor antagonist
PIWKPBJCKXDKJR,GLRA1,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
PIWKPBJCKXDKJR,GLRB,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
PIWKPBJCKXDKJR,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PIWKPBJCKXDKJR,KCNK10,OPENER,Potassium channel subfamily K member 10 opener
PIWKPBJCKXDKJR,KCNK18,OPENER,Potassium channel subfamily K member 18 opener
PIWKPBJCKXDKJR,KCNK3,OPENER,Potassium channel subfamily K member 3 opener
PIWKPBJCKXDKJR,KCNK9,OPENER,Potassium channel subfamily K member 9 opener
PIWKPBJCKXDKJR,KCNK2,OPENER,Potassium channel subfamily K member 2 opener
LZCDAPDGXCYOEH,RARG,AGONIST,Retinoic acid receptor agonist
LZCDAPDGXCYOEH,RARB,AGONIST,Retinoic acid receptor agonist
LZCDAPDGXCYOEH,RARA,AGONIST,Retinoic acid receptor agonist
DOUYETYNHWVLEO,TLR7,AGONIST,Toll-like receptor 7 agonist
HPHUVLMMVZITSG,SV2A,MODULATOR,Synaptic vesicle glycoprotein 2A modulator
HPHUVLMMVZITSG,CACNA1B,BLOCKER,Voltage-gated N-type calcium channel alpha-1B subunit blocker
XMAYWYJOQHXEEK,ERG11,INHIBITOR,Cytochrome P450 51 inhibitor
KFQYTPMOWPVWEJ,DRD2,AGONIST,D2-like dopamine receptor agonist
KFQYTPMOWPVWEJ,DRD3,AGONIST,D2-like dopamine receptor agonist
KFQYTPMOWPVWEJ,DRD4,AGONIST,D2-like dopamine receptor agonist
RIKMMFOAQPJVMX,ADH1A,INHIBITOR,Alcohol dehydrogenase class I inhibitor
RIKMMFOAQPJVMX,ADH1B,INHIBITOR,Alcohol dehydrogenase class I inhibitor
RIKMMFOAQPJVMX,ADH1C,INHIBITOR,Alcohol dehydrogenase class I inhibitor
YWXYYJSYQOXTPL,GUCY1B1,ACTIVATOR,Soluble guanylate cyclase activator
YWXYYJSYQOXTPL,GUCY1B2,ACTIVATOR,Soluble guanylate cyclase activator
YWXYYJSYQOXTPL,GUCY1A2,ACTIVATOR,Soluble guanylate cyclase activator
YWXYYJSYQOXTPL,GUCY1A1,ACTIVATOR,Soluble guanylate cyclase activator
OUBCNLGXQFSTLU,HPD,INHIBITOR,4-hydroxyphenylpyruvate dioxygenase inhibitor
RFKMCNOHBTXSMU,GLRA1,AGONIST,Glycine receptor (alpha-1/beta) agonist
RFKMCNOHBTXSMU,GLRB,AGONIST,Glycine receptor (alpha-1/beta) agonist
RFKMCNOHBTXSMU,GABRA1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRB2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRG2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRB3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRA4,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRG3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRQ,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRA3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRP,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRD,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRG1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRB1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRE,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRA2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRA5,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
RFKMCNOHBTXSMU,GABRA6,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
YIBOMRUWOWDFLG,pol,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
JWNPDZNEKVCWMY,EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor
JWNPDZNEKVCWMY,ERBB2,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor
JWNPDZNEKVCWMY,ERBB4,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor
XVGOZDAJGBALKS,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
XVGOZDAJGBALKS,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
XVGOZDAJGBALKS,DRD3,ANTAGONIST,Dopamine D3 receptor antagonist
VWUXBMIQPBEWFH,ESR1,ANTAGONIST,Estrogen receptor alpha antagonist
JUZNIMUFDBIJCM,dacB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,ftsI,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,mrcA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,mrcB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,dacA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,mrdA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,dacC,INHIBITOR,Bacterial penicillin-binding protein inhibitor
JUZNIMUFDBIJCM,pbpA,INHIBITOR,Cell shape peptidoglycan synthetase penicillin-binding protein 2 inhibitor
VOVIALXJUBGFJZ,NR3C1,AGONIST,Glucocorticoid receptor agonist
KQDRVXQXKZXMHP,CXCR1,MODULATOR,Interleukin-8 receptor A modulator
KQDRVXQXKZXMHP,CXCR2,MODULATOR,Interleukin-8 receptor B modulator
YFGHCGITMMYXAQ,SLC6A3,INHIBITOR,Dopamine transporter inhibitor
SYTBZMRGLBWNTM,APH1A,MODULATOR,Gamma-secretase modulator
SYTBZMRGLBWNTM,PSENEN,MODULATOR,Gamma-secretase modulator
SYTBZMRGLBWNTM,APH1B,MODULATOR,Gamma-secretase modulator
SYTBZMRGLBWNTM,PSEN1,MODULATOR,Gamma-secretase modulator
SYTBZMRGLBWNTM,NCSTN,MODULATOR,Gamma-secretase modulator
SYTBZMRGLBWNTM,PSEN2,MODULATOR,Gamma-secretase modulator
QHMBSVQNZZTUGM,CNR1,NEGATIVE ALLOSTERIC MODULATOR,Cannabinoid CB1 receptor negative allosteric modulator
AHJRHEGDXFFMBM,CCND1,INHIBITOR,CDK6/cyclin D1 inhibitor
AHJRHEGDXFFMBM,CDK6,INHIBITOR,CDK6/cyclin D1 inhibitor
AHJRHEGDXFFMBM,CDK4,INHIBITOR,Cyclin-dependent kinase 4/cyclin D1 inhibitor
DDLPYOCJHQSVSZ,CXCR1,MODULATOR,Interleukin-8 receptor A modulator
DDLPYOCJHQSVSZ,CXCR2,MODULATOR,Interleukin-8 receptor B modulator
MNDBXUUTURYVHR,PDE4A,INHIBITOR,Phosphodiesterase 4 inhibitor
MNDBXUUTURYVHR,PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor
MNDBXUUTURYVHR,PDE4B,INHIBITOR,Phosphodiesterase 4 inhibitor
MNDBXUUTURYVHR,PDE4C,INHIBITOR,Phosphodiesterase 4 inhibitor
WWYNJERNGUHSAO,PGR,AGONIST,Progesterone receptor agonist
LXMSZDCAJNLERA,NR3C2,ANTAGONIST,Mineralocorticoid receptor antagonist
STPKWKPURVSAJF,SLC10A2,INHIBITOR,Ileal bile acid transporter inhibitor
KGFYHTZWPPHNLQ,F10,INHIBITOR,Coagulation factor X inhibitor
RAGOYPUPXAKGKH,ERG11,INHIBITOR,Cytochrome P450 51 inhibitor
YBBLVLTVTVSKRW,CYP19A1,INHIBITOR,Cytochrome P450 19A1 inhibitor
YQNQNVDNTFHQSW,PFOR,INHIBITOR,Pyruvate:ferredoxin oxidoreductase inhibitor
BXNMTOQRYBFHNZ,TLR8,AGONIST,Toll-like receptor 8 agonist
BXNMTOQRYBFHNZ,TLR7,AGONIST,Toll-like receptor 7 agonist
WXJFKKQWPMNTIM,OPG071,INHIBITOR,DNA polymerase inhibitor
XKLMZUWKNUAPSZ,SCN5A,BLOCKER,Sodium channel protein type V alpha subunit blocker
XKLMZUWKNUAPSZ,SCN4A,BLOCKER,Sodium channel protein type IV alpha subunit blocker
XIESSJVMWNJCGZ,ESR2,AGONIST,Estrogen receptor beta agonist
LHHCSNFAOIFYRV,NS4A,INHIBITOR,"Hepatitis C virus serine protease, NS3/NS4A inhibitor"
LHHCSNFAOIFYRV,NS3,INHIBITOR,"Hepatitis C virus serine protease, NS3/NS4A inhibitor"
ZBNZXTGUTAYRHI,ABL1,INHIBITOR,Tyrosine-protein kinase ABL inhibitor
ZBNZXTGUTAYRHI,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor
ZBNZXTGUTAYRHI,KIT,INHIBITOR,Stem cell growth factor receptor inhibitor
ZBNZXTGUTAYRHI,EPHA2,INHIBITOR,Ephrin type-A receptor 2 inhibitor
ZBNZXTGUTAYRHI,FYN,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,SRC,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,LCK,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,YES1,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,BLK,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,HCK,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,LYN,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,FRK,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,FGR,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,SRMS,INHIBITOR,SRC inhibitor
ZBNZXTGUTAYRHI,BCR,INHIBITOR,Bcr/Abl fusion protein inhibitor
MUMGGOZAMZWBJJ,AR,AGONIST,Androgen Receptor agonist
FGXWKSZFVQUSTL,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
JQXXHWHPUNPDRT,rpoB,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
JQXXHWHPUNPDRT,rpoA,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
JQXXHWHPUNPDRT,rpoC,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
JQXXHWHPUNPDRT,rpoZ,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
UIAGMCDKSXEBJQ,NR3C2,ANTAGONIST,Mineralocorticoid receptor antagonist
UIAGMCDKSXEBJQ,CACNA1C,BLOCKER,Voltage-gated L-type calcium channel blocker
UIAGMCDKSXEBJQ,CACNA1S,BLOCKER,Voltage-gated L-type calcium channel blocker
UIAGMCDKSXEBJQ,CACNA1D,BLOCKER,Voltage-gated L-type calcium channel blocker
UIAGMCDKSXEBJQ,CACNA1F,BLOCKER,Voltage-gated L-type calcium channel blocker
IQFYYKKMVGJFEH,P,INHIBITOR,DNA polymerase/reverse transcriptase inhibitor
KJADKKWYZYXHBB,CA2,INHIBITOR,Carbonic anhydrase II inhibitor
KJADKKWYZYXHBB,CA4,INHIBITOR,Carbonic anhydrase IV inhibitor
KJADKKWYZYXHBB,GRIA4,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
KJADKKWYZYXHBB,GRIA3,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
KJADKKWYZYXHBB,GRIA2,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
KJADKKWYZYXHBB,GRIA1,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
KJADKKWYZYXHBB,GRIK1,ANTAGONIST,Glutamate receptor ionotropic kainate antagonist
KJADKKWYZYXHBB,GRIK5,ANTAGONIST,Glutamate receptor ionotropic kainate antagonist
KJADKKWYZYXHBB,GRIK4,ANTAGONIST,Glutamate receptor ionotropic kainate antagonist
KJADKKWYZYXHBB,GRIK2,ANTAGONIST,Glutamate receptor ionotropic kainate antagonist
KJADKKWYZYXHBB,GRIK3,ANTAGONIST,Glutamate receptor ionotropic kainate antagonist
KJADKKWYZYXHBB,GABRA1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRB2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRG2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRB3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRA4,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRG3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRQ,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRA3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
