ik14,target_gene,action_type,mechanism_of_action
IAKHMKGGTNLKSZ,TUBB1,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA3C,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA4A,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB3,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA1A,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB4A,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB8,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA1B,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA1C,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBA3E,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB2A,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB2B,INHIBITOR,Tubulin inhibitor
IAKHMKGGTNLKSZ,TUBB6,INHIBITOR,Tubulin inhibitor
NIJJYAXOARWZEE,ALDH5A1,INHIBITOR,Succinate semialdehyde dehydrogenase inhibitor
XUIIKFGFIJCVMT,THRA,AGONIST,Thyroid hormone receptor agonist
XUIIKFGFIJCVMT,THRB,AGONIST,Thyroid hormone receptor agonist
SYTBZMRGLBWNTM,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
SYTBZMRGLBWNTM,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
RZVAJINKPMORJF,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
RZVAJINKPMORJF,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
RZVAJINKPMORJF,FAAH,INHIBITOR,Anandamide amidohydrolase inhibitor
RZVAJINKPMORJF,TRPV1,OPENER,Vanilloid receptor opener
RYYVLZVUVIJVGH,ADORA1,ANTAGONIST,Adenosine receptor antagonist
RYYVLZVUVIJVGH,ADORA2B,ANTAGONIST,Adenosine receptor antagonist
RYYVLZVUVIJVGH,ADORA3,ANTAGONIST,Adenosine receptor antagonist
RYYVLZVUVIJVGH,ADORA2A,ANTAGONIST,Adenosine receptor antagonist
DKYWVDODHFEZIM,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
DKYWVDODHFEZIM,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
DIWRORZWFLOCLC,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DIWRORZWFLOCLC,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
RZEKVGVHFLEQIL,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor
PJMPHNIQZUBGLI,OPRM1,AGONIST,Mu opioid receptor agonist
YIQPUIGJQJDJOS,CXCR4,PARTIAL AGONIST,C-X-C chemokine receptor type 4 partial agonist
ZRVUJXDFFKFLMG,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor
DQCKKXVULJGBQN,OPRK1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist
DQCKKXVULJGBQN,OPRD1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist
DQCKKXVULJGBQN,OPRM1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist
OJLOPKGSLYJEMD,PTGER3,AGONIST,Prostanoid EP3 receptor agonist
UJVDJAPJQWZRFR,GHSR,AGONIST,Ghrelin receptor agonist
FYPMFJGVHOHGLL,ABCA1,INHIBITOR,ATP-binding cassette sub-family A member 1 inhibitor
YMBXTVYHTMGZDW,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
YMBXTVYHTMGZDW,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
PHWXUGHIIBDVKD,EDNRB,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
PHWXUGHIIBDVKD,EDNRA,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
IPEHBUMCGVEMRF,fas,INHIBITOR,Fatty acid synthase inhibitor
IPEHBUMCGVEMRF,rplM,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsA,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsJ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsK,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsL,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsM,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsN,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsZ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsO,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsP,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsQ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsR1,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsR2,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsS,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsB,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsT,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsC,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsD,INHIBITOR,70S ribosome inhibitor
