IK14,Disease,depmap_dep_lin,depmap_selectivity,depmap_has
PJHKBYALYHRYSK,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),0.0,0.0,0
TYNLGDBUJLVSMA,epidermolysis bullosa,0.0,0.0,0
HPNSFSBZBAHARI,Kidney Transplantation (Status Post),-0.5517340392691602,0.00147191683091763,1
PRAAPINBUWJLGA,With Melanoma,-0.22669389430364523,-0.04326310533171171,1
KSGCNXAZROJSNW,Duchenne Muscular Dystrophy,0.0,0.0,0
WDOGQTQEKVLZIJ,Subjects With Platinum Resistant Ovarian Cancer,0.0,1.9553952535603567,1
XXSMGPRMXLTPCZ,Rheumatoid Arthritis,0.0,0.0,0
HOIIHACBCFLJET,Alzheimer's Disease,0.0,0.0,0
XYFPWWZEPKGCCK,Hodgkin Lymphoma,-0.12782927447705325,-0.11713577377976685,1
JGPMMRGNQUBGND,Duchenne Muscular Dystrophy (DMD),0.0,0.0,0
IUBSYMUCCVWXPE,Chronic Obstructive Pulmonary Disease,0.0,0.0,0
AKQXQLUNFKDZBN,Parkinson's Disease,0.0,0.0,0
CYXKNKQEMFBLER,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",0.0,0.0,0
KLPWJLBORRMFGK,Attention Deficit Hyperactivity Disorder (ADHD),0.0,0.0,0
PLHJCIYEEKOWNM,Myelodysplastic Syndromes,0.0,0.0,0
QYSXJUFSXHHAJI,Asthma,0.0,0.0,0
CMQOKZCYVZFZLZ,Painful Diabetic Peripheral Neuropathy (PDPN),0.0,0.0,0
JUSFANSTBFGBAF,Advanced Gastric Adenocarcinoma,0.0,1.2587328143255367,1
JDUBGYFRJFOXQC,Advanced Gastric Adenocarcinoma,0.0,0.08657614510773096,1
ULXXDDBFHOBEHA,Non-small-cell Lung Cancer With Somatic EGFR Mutations,-0.32521217790037726,0.02966470124243381,1
XLCNVWUKICLURR,Plasmodium Falciparum Infection,0.0,0.0,0
FGXWKSZFVQUSTL,Gastroenteritis,0.0,0.0,0
MWUFVYLAWAXDHQ,AML; MDS; CMML,0.0,0.0,0
IHIUGIVXARLYHP,Hypercholesterolemia,0.0,0.0,0
JNGVJMBLXIUVRD,Breast Cancer,0.08266392990380525,-0.01273324873934123,1
TVTXCJFHQKSQQM,Acute Myeloid Leukemia,-0.4687788684480851,0.17800685480544426,1
YQEZLKZALYSWHR,Status Epilepticus,0.0,0.0,0
ACCFLVVUVBJNGT,Lung Cancer,-1.2013094066024155,0.05742340772312127,1
DRLFMBDRBRZALE,for Cancer,0.0,0.0,0
WBXPDJSOTKVWSJ,Non-small-cell Lung Cancer With Somatic EGFR Mutations,-0.9446053657300832,-0.1251255823195463,1
XKLMZUWKNUAPSZ,Angina,0.0,0.0,0
BLGWHBSBBJNKJO,Lung Cancer,-0.4942036723624354,0.010904755442500302,1
MUJMYVFVAWFUJL,Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,0.0,0.0,0
MUJMYVFVAWFUJL,Lung Cancer,-0.32521217790037726,0.02966470124243381,1
MUMGGOZAMZWBJJ,Infertility; Poor Ovarian Response,0.0,-0.09539717864314648,1
PJHKBYALYHRYSK,Glucose Transporter Type 1 Deficiency Syndrome,0.0,0.0,0
OGWKCGZFUXNPDA,Acute Myeloid Leukemia,-2.2141398079936034,-0.25874455443324673,1
DRLFMBDRBRZALE,Metastatic Cancer,0.0,0.0,0
VFLDPWHFBUODDF,Prostate Cancer,0.0,0.0,0
XTOSKUWVIRIKJD,Acute Myocardial Infarction,0.0,0.0,0
QVCAATSEPLQVBX,Solid Tumors,0.0,0.0,0
KGFYHTZWPPHNLQ,Stroke,0.0,0.0,0
HFNKQEVNSGCOJV,Colorectal Cancer,-0.014055372898984776,0.05442314540469234,1
IQFYYKKMVGJFEH,Chronic Hepatitis B,0.0,0.0,0
PKWRMUKBEYJEIX,Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),-0.3618918895234277,-0.1332853026655431,1
PCHKPVIQAHNQLW,Breast Cancer,-0.23302431386492528,-0.02373927494504266,1
DEVSOMFAQLZNKR,Richter's Transformation,0.0,0.0,0
YRVIKLBSVVNSHF,Nicotine Addiction,0.0,0.0,0
DAPFMGRCDFSUSN,Asthma,0.0,0.0,0
AXTAPYRUEKNRBA,Acute Myeloid Leukemia,-0.10440537850322297,-0.017829233395492014,1
KIHYPELVXPAIDH,Active Dermatomyositis,0.0,0.0,0
BMQGVNUXMIRLCK,Metastatic Colorectal Cancer,-1.170006409901971,0.7853888436583858,1
MIWWSGDADVMLTG,Visceral Leishmaniasis,0.0,0.0,0
MPYACSQFXVMWNO,Systemic Lupus Erythematosus,0.0,0.0,0
RVAQIUULWULRNW,NSCLC,0.0,0.0,0
BOJKULTULYSRAS,Ulcerative Colitis,0.0,0.0,0
CGIGDMFJXJATDK,Post-ERCP Acute Pancreatitis,0.054024808140925674,-0.025593354385771476,1
FCRFVPZAXGJLPW,Rheumatoid Arthritis,0.0,0.0,0
ACWZRVQXLIRSDF,Peritoneal Cancer,0.0,0.0,0
JUVQLZBJFOGEEO,Alzheimer's Disease,0.0,0.0,0
DTGLZDAWLRGWQN,Sickle Cell Disease,0.0,0.0,0
WOXKDUGGOYFFRN,"Muscular Dystrophy, Duchenne",0.0,0.0,0
BPEGJWRSRHCHSN,Glioblastoma,0.0,0.0,0
LIRYPHYGHXZJBZ,Acute Myeloid Leukemia,-0.255103894145124,-0.0679324640348754,1
BPQMGSKTAYIVFO,cell Lymphoma,-0.07872192824792786,0.006619201222061638,1
FWLMVFUGMHIOAA,Malignant Pleural Mesothelioma,0.0,0.0,0
YUTIXVXZQIQWGY,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,-0.09413781159139549,0.0016351275776253643,1
NDAZATDQFDPQBD,NSCLC,0.0,0.0,0
GXJABQQUPOEUTA,heart transplant rejection,0.0,0.0,0
WDDPHFBMKLOVOX,Myeloid Malignancy; Bone Marrow Failure Syndrome; Transfusion-dependent Red Blood Cell (RBC) Defect; Congenital Immunodeficiency; Metabolic Disease; Severe Immune Dysregulation,0.0,0.0,0
DDLPYOCJHQSVSZ,Bullous Pemphigoid,0.0,0.0,0
ZBNZXTGUTAYRHI,Advanced Cancer,0.0,0.0,0
HCYAFALTSJYZDH,Lung Cancer,-0.07558308842313782,-0.023134981501202835,1
UREBDLICKHMUKA,Postoperative Nausea and Vomiting; Vomiting,0.0,0.0,0
IHIUGIVXARLYHP,Cardiovascular Diseases,0.0,0.0,0
KVWDHTXUZHCGIO,Treatment-resistant Depression,0.0,0.0,0
RYMZZMVNJRMUDD,Rhinosinusitis,0.0,0.0,0
VOBHXZCDAVEXEY,Major Depressive Disorder,0.0,0.0,0
PAFKTGFSEFKSQG,Prostate Cancer,-0.2645388102368098,-0.23545447409031928,1
ZFPZEYHRWGMJCV,Fragile X Syndrome,0.0,0.0,0
NMUSYJAQQFHJEW,Leukemia; Acute Myeloid Leukemia (AML); Myelodysplastic Syndromes (MDS),-0.5878162354736143,0.007886673931410626,1
CWHUFRVAEUJCEF,Prostate Cancer,-0.5616893878904449,-0.05658096008550917,1
DSLPMJSGSBLWRE,Breast Cancer,0.05484441554539565,0.012972886747338853,1
DOAKLVKFURWEDJ,Febrile Neutropenia,0.0,0.0,0
XAUDJQYHKZQPEU,Acute Myelogenous Leukemia,-0.5878162354736143,0.007886673931410626,1
JRWROCIMSDXGOZ,Crohn's Disease,0.0,0.0,0
