Drug_Clean,chembl_pref_name,chembl_smiles,chembl_id,match_type
ruxolitinib,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,CHEMBL1789941,exact
ABX464,OBEFAZIMOD,FC(F)(F)Oc1ccc(Nc2ccc3cccc(Cl)c3n2)cc1,CHEMBL4297344,exact
favipiravir,FAVIPIRAVIR,NC(=O)c1nc(F)cnc1O,CHEMBL221722,exact
abemaciclib,ABEMACICLIB,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL3301610,exact
Azilsartan,AZILSARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,CHEMBL57242,exact
Bucillamine,BUCILLAMINE,CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,CHEMBL80830,exact
Candesartan,CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CHEMBL1016,exact
Taxotere,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,CHEMBL3545252,exact
eprosartan,EPROSARTAN,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,CHEMBL813,exact
etrasimod,ETRASIMOD,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,CHEMBL3358920,exact
GLPG2737,GLPG-2737,COC1CCN(C2CCN(c3cc(C(=O)NS(=O)(=O)N(C)C)nc4c3c(C3CCC3)nn4-c3ccc(F)cc3)CC2)CC1,CHEMBL6068548,exact
gemcitabine,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,CHEMBL888,exact
