NCT_ID,Drug_Clean,Disease,endpoint_readout,endpoint_organ,drug_organ,endpoint_mech_category,is_on_mech_surrogate,is_surrogate_pass
NCT01470144,epoprostenol,pulmonary arterial hypertension,other,other,hematologic,ambiguous,0,0
NCT01454934,eribulin,Lung Cancer,CLINICAL_EVENT,hepatic,oncology,clinical_off_or_other,0,0
NCT01370616,ertapenem,diabetic foot infection,SYMPTOM_SCALE,infection,infection,ambiguous,0,0
NCT01370525,esomeprazole,Heartburn,SYMPTOM_SCALE,cardiac,metabolic,off_mech,0,0
NCT01370538,esomeprazole,Heartburn,SYMPTOM_SCALE,cardiac,metabolic,off_mech,0,0
NCT01100164,eszopiclone,insomnia,ORGAN_FUNCTION,cns,cns,on_mech_surrogate,1,1
NCT01450761,etoposide,Lung Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01229774,etoricoxib,Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,other,other,msk,ambiguous,0,0
NCT01462370,etoricoxib,Dysmenorrhea,SYMPTOM_SCALE,cns,msk,off_mech,0,0
NCT01408186,famotidine,Upper Gastrointestinal Bleeding,other,hematologic,metabolic,off_mech,0,0
NCT01270659,fentanyl,Pain,BIOMARKER,cns,cns,on_mech_surrogate,1,1
NCT01307579,fluconazole,Acute Myeloid Leukemia,other,oncology,infection,off_mech,0,0
NCT01304706,fluocinolone acetonide,diabetic macular edema,other,other,sensory,ambiguous,0,0
NCT01407432,folic acid,male infertility,other,other,various,ambiguous,0,0
NCT01300351,fulvestrant,Advanced Breast Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01116583,gabapentin,"Pain, Postoperative",SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT02120703,gabapentin,Intervertebral Disc Prolapse,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01404260,gefitinib,Lung Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01360853,gemcitabine,Metastatic Pancreatic Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01211522,haloperidol,Delirium; Impaired Cognition; Long Term Psychologic Disorders,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01353313,hydrocortisone,"Infant, Newborn; Infant, Small for Gestational Age; Infant, Very Low Birth Weight; Infant, Premature; Bronchopulmonary Dysplasia",CLINICAL_EVENT,respiratory,metabolic,clinical_off_or_other,0,0
NCT02266589,hydrocortisone,Septic Shock; Sepsis,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01601028,hydroxychloroquine,Autoimmune Diseases; Sjogren's Syndrome; Dry Eye,BIOMARKER,other,infection,ambiguous,0,0
NCT01259856,hydroxyurea,High Risk Polycythemia Vera; High Risk Essential Thrombocythemia,BIOMARKER,hematologic,oncology,off_mech,0,0
NCT01303406,idebenone,Friedreich ataxia,other,other,cns,ambiguous,0,0
NCT01291511,iloperidone,schizophrenia,CLINICAL_EVENT,cns,cns,clinical_on_mech,0,0
NCT01392469,imatinib,Pulmonary Arterial Hypertension,BIOMARKER,other,oncology,ambiguous,0,0
NCT01511289,imatinib,Chronic Myeloid Leukemia,SYMPTOM_SCALE,oncology,oncology,ambiguous,0,0
NCT01232894,indacaterol,chronic obstructive pulmonary disease,SYMPTOM_SCALE,respiratory,respiratory,ambiguous,0,0
NCT01442987,irbesartan,Hypertension; Hyperlipidemia,BIOMARKER,metabolic,cardiac,off_mech,0,1
NCT00170209,isoniazid,Latent Tuberculosis Infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01474590,isotretinoin,Acne,CLINICAL_EVENT,other,derm,clinical_off_or_other,0,0
NCT01326325,ketamine,Refractory Cancer,SYMPTOM_SCALE,other,cns,ambiguous,0,0
NCT01387139,ketamine,Procedural Sedation and Analgesia,other,other,cns,ambiguous,0,0
NCT01983020,ketamine,Postoperative Pain,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01243177,lacosamide,epilepsy,other,cns,cns,ambiguous,0,0
NCT01484977,lacosamide,epilepsy,other,cns,cns,ambiguous,0,0
NCT01452711,lansoprazole,Gastric Ulcer,other,other,metabolic,ambiguous,0,0
NCT01452724,lansoprazole,Duodenal Ulcer,other,other,metabolic,ambiguous,0,0
NCT01452750,lansoprazole,Gastric Ulcers; Duodenal Ulcers,CLINICAL_EVENT,other,metabolic,clinical_off_or_other,0,0
NCT01452763,lansoprazole,Gastric Ulcers; Duodenal Ulcers,CLINICAL_EVENT,other,metabolic,clinical_off_or_other,0,0
NCT01456260,lansoprazole,Gastric Ulcers; Duodenal Ulcers,CLINICAL_EVENT,other,metabolic,clinical_off_or_other,0,0
NCT01459367,lansoprazole,Erosive Esophagitis,CLINICAL_EVENT,other,metabolic,clinical_off_or_other,0,0
NCT01476787,lenalidomide,Untreated Patients With Follicular Lymphoma,other,oncology,oncology,ambiguous,0,0
NCT01321554,lenvatinib,Thyroid Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01493531,lesinurad,gout,BIOMARKER,other,msk,ambiguous,0,0
NCT01494506,leucovorin,Metastatic Pancreatic Cancer,CLINICAL_EVENT,oncology,unk,clinical_off_or_other,0,0
NCT01292837,levetiracetam,Epilepsy; Generalized Tonic-clonic Seizures,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01398956,levetiracetam,Epilepsy; Generalized Tonic-clonic Seizures,CLINICAL_EVENT,other,cns,clinical_off_or_other,0,0
NCT01458431,levobupivacaine,pain,other,other,cns,ambiguous,0,0
NCT01227655,levodopa,Parkinson's Disease,other,other,cns,ambiguous,0,0
NCT01154738,lidocaine,Anesthesia,other,other,respiratory,ambiguous,0,0
NCT01421498,lifitegrast,dry eye syndrome,BIOMARKER,other,sensory,ambiguous,0,0
NCT01421511,linezolid,skin and soft tissue bacterial infection,other,oncology,infection,off_mech,0,0
NCT01051219,losartan,Nonalcoholic Steatohepatitis,BIOMARKER,hepatic,cardiac,off_mech,0,0
NCT01307046,losartan,Hypertension,BIOMARKER,other,cardiac,ambiguous,0,0
NCT01302691,losartan,Hypertension,BIOMARKER,other,cardiac,ambiguous,0,0
NCT01324284,lubiprostone,colorectal carcinoma,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01372423,lubiprostone,chronic idiopathic constipation,other,other,metabolic,ambiguous,0,0
NCT01147289,meloxicam,Lumbar Sciatic Pain,BIOMARKER,cns,msk,off_mech,0,0
NCT01413178,melphalan,Multiple Myeloma,CLINICAL_EVENT,hematologic,oncology,clinical_off_or_other,0,0
NCT01877837,melphalan,Sickle Cell Disease,other,other,oncology,ambiguous,0,0
NCT01411176,menthol,gastric cancer,other,other,unk,ambiguous,0,0
NCT01411189,menthol,gastric cancer,other,other,unk,ambiguous,0,0
NCT01445678,meropenem,Complicated Intra-abdominal Infection,SYMPTOM_SCALE,infection,infection,ambiguous,0,0
NCT01334125,metformin,Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01353391,metformin,Type 2 Diabetes,CLINICAL_EVENT,metabolic,metabolic,clinical_on_mech,0,0
NCT01368081,metformin,Type 2 Diabetes Mellitus,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01370707,metformin,Type 2 Diabetes Mellitus,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01381900,metformin,Type 2 Diabetes Mellitus,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01483560,metformin,Type 1 Diabetes,other,other,metabolic,ambiguous,0,0
NCT01487993,metformin,Obesity; Insulin Resistance,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01760447,metformin,Type 2 Diabetes Mellitus,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT03086005,metformin,Polycystic Ovary Syndrome,other,other,metabolic,ambiguous,0,0
NCT01984099,methotrexate,Hydatidiform Mole,BIOMARKER,hematologic,oncology,off_mech,0,0
NCT01420159,methoxyflurane,pain,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01275560,metronidazole,Anal Incontinence,other,other,derm,ambiguous,0,0
NCT01473836,metronidazole,Intra-abdominal Infections,SYMPTOM_SCALE,oncology,derm,off_mech,0,0
NCT01375920,metyrapone,Depression,SYMPTOM_SCALE,cns,various,off_mech,0,0
NCT02336477,mexiletine,non-dystrophic myotonia,SYMPTOM_SCALE,other,cardiac,ambiguous,0,0
NCT01436279,mifepristone,cervical ripening,other,other,endocrine,ambiguous,0,0
NCT01403662,minocycline,Depression,SYMPTOM_SCALE,cns,metabolic,off_mech,0,0
NCT01429272,minocycline,Depression,SYMPTOM_SCALE,cns,metabolic,off_mech,0,0
NCT01412073,misoprostol,Cesarean complications,other,other,endocrine,ambiguous,0,0
NCT01298336,moxifloxacin,"Atypical; Mycobacterium, Pulmonary, Tuberculous",other,respiratory,infection,off_mech,0,0
NCT01342549,naltrexone,Alcohol Use Disorder,CLINICAL_EVENT,other,cns,clinical_off_or_other,0,0
NCT01254188,nilotinib,Chronic Myeloid Leukemia,other,other,oncology,ambiguous,0,0
NCT01275196,nilotinib,Chronic Myeloid Leukemia,other,other,oncology,ambiguous,0,0
NCT01257672,ondansetron,Gastroenteritis; Vomiting; Acute Gastroenteritis,CLINICAL_EVENT,other,metabolic,clinical_off_or_other,0,0
NCT01362530,ondansetron,Chemotherapy Induced Nausea and Vomiting,other,other,metabolic,ambiguous,0,0
NCT01395901,ondansetron,Postoperative Nausea and Vomiting,other,other,metabolic,ambiguous,0,0
NCT01442376,ondansetron,Chemotherapy-Induced Nausea and Vomiting,other,other,metabolic,ambiguous,0,0
NCT01231620,oseltamivir,"Influenza, Human",ORGAN_FUNCTION,cardiac,infection,off_mech,0,0
NCT01716624,oxybutynin,neurogenic bladder,other,cns,endocrine,off_mech,0,0
NCT01196390,paclitaxel,Esophageal Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01248403,paclitaxel,Gastric Carcinoma,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01275677,paclitaxel,Breast Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01285609,paclitaxel,Lung Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01358877,paclitaxel,Primary Breast Cancer,CLINICAL_EVENT,hepatic,oncology,clinical_off_or_other,0,0
NCT01364012,paclitaxel,Lung Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01462890,paclitaxel,Ovarian Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT04031703,paclitaxel,Triple Negative Breast Cancer,CLINICAL_EVENT,other,oncology,clinical_off_or_other,0,0
NCT01662310,paliperidone,schizophrenia,CLINICAL_EVENT,cns,cns,clinical_on_mech,0,0
NCT01351415,pemetrexed,Lung Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01360762,pentamidine,HIV infection,CLINICAL_EVENT,other,unk,clinical_off_or_other,0,0
NCT01393743,perampanel,generalized tonic-clonic seizures,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01413958,phenylephrine,seasonal allergic rhinitis,SYMPTOM_SCALE,cns,respiratory,off_mech,0,0
NCT01366209,pirfenidone,Idiopathic Pulmonary Fibrosis,ORGAN_FUNCTION,respiratory,oncology,off_mech,0,0
NCT01146834,plerixafor,Multiple Myeloma,other,other,oncology,ambiguous,0,0
NCT01304472,prasugrel,Coronary Artery Disease (CAD),BIOMARKER,hematologic,hematologic,on_mech_surrogate,1,1
NCT01327534,prasugrel,Myocardial Infarction; STEMI,BIOMARKER,hematologic,hematologic,on_mech_surrogate,1,1
NCT01338909,prasugrel,Myocardial Infarction,BIOMARKER,hematologic,hematologic,on_mech_surrogate,1,1
NCT01272635,prednisolone,Asthma; Wheezing,SYMPTOM_SCALE,respiratory,sensory,off_mech,0,0
NCT01308567,prednisone,Prostate Cancer,CLINICAL_EVENT,oncology,metabolic,clinical_off_or_other,0,0
NCT01365598,primaquine,Plasmodium falciparum malaria,SYMPTOM_SCALE,other,infection,ambiguous,0,0
NCT01349010,probucol,hyperlipidemia,BIOMARKER,other,cardiac,ambiguous,0,0
NCT01573637,raloxifene,schizophrenia,SYMPTOM_SCALE,cns,endocrine,off_mech,0,0
NCT01453192,raltegravir,HIV-1 infection,CLINICAL_EVENT,cardiac,infection,clinical_off_or_other,0,0
NCT01215253,ranolazine,Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,CLINICAL_EVENT,cardiac,cardiac,clinical_on_mech,0,0
NCT01442038,ranolazine,Coronary Artery Disease; Angina Pectoris,CLINICAL_EVENT,other,cardiac,clinical_off_or_other,0,0
NCT01472185,ranolazine,Type 2 Diabetes Mellitus,BIOMARKER,metabolic,cardiac,off_mech,0,1
NCT01736891,rasagiline,Parkinson's Disease,other,other,cns,ambiguous,0,0
NCT01318694,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01433887,ribavirin,hepatitis C virus infection,other,other,infection,ambiguous,0,0
NCT01448044,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01468584,ribavirin,hepatitis C virus infection,other,infection,infection,ambiguous,0,0
