aact_name,clean,nontherap_reason,n_trials
ritonavir placebo,ritonavir placebo,ext:placebo,1
danoprevir placebo,danoprevir placebo,ext:placebo,1
Placebo for Tenofovir disoproxil fumarate,Placebo for Tenofovir disoproxil fumarate,ext:placebo,1
Placebo for Maraviroc,Placebo for Maraviroc,ext:placebo,1
"sterile NaCl (sodium chloride) 0,9% solution","sterile NaCl (sodium chloride) 0,9% solution",canonical:Sodium Chloride,1
"Saline 0,9%","Saline 0,9%",ext:saline,1
Placebo + Spironolactone,Placebo + Spironolactone,ext:placebo,1
Clobetasol + Placebo,Clobetasol + Placebo,ext:placebo,1
placebo of folic acid,placebo of folic acid,ext:placebo,1
Placebo to 20mg/Kg BPS804,Placebo to 20mg/Kg BPS804,ext:placebo,1
Magnesium sulfate 24 hours,Magnesium sulfate 24 hours,ext:magnesium sulfate,1
Magnesium sulfate 12 hours,Magnesium sulfate 12 hours,ext:magnesium sulfate,1
5% Dextrose in Water,5% Dextrose in Water,ext:dextrose,1
Lactose (inactive placebo),Lactose (inactive placebo),ext:placebo,1
placebo(distilled water,placebo(distilled water,ext:placebo,1
Placebo for Sitagliptin 50 mg,Placebo for Sitagliptin 50 mg,ext:placebo,1
Placebo for Sitagliptin 25 mg,Placebo for Sitagliptin 25 mg,ext:placebo,1
sodium bicarbonate buffered lidocaine,sodium bicarbonate buffered lidocaine,ext:sodium bicarbonate,1
DRL-17822 or placebo,DRL-17822 or placebo,ext:placebo,1
saline Infusion,saline Infusion,ext:saline,1
placebo tablet is made of lactose,placebo tablet is made of lactose,ext:placebo,1
Placebo transdermal one 90 μL spray,Placebo transdermal one 90 μL spray,ext:placebo,1
Naproxen Sodium IR Placebo,Naproxen Sodium IR Placebo,ext:placebo,1
Naproxen Sodium ER Placebo,Naproxen Sodium ER Placebo,ext:placebo,1
Placebo transdermal two 90 μL sprays,Placebo transdermal two 90 μL sprays,ext:placebo,1
Placebo transdermal three 90 μL sprays,Placebo transdermal three 90 μL sprays,ext:placebo,1
isoton sodium chloride,isoton sodium chloride,canonical:Sodium Chloride,1
Placebo losartan,Placebo losartan,ext:placebo,1
Placebo N-acetylcysteine,Placebo N-acetylcysteine,ext:placebo,1
Universal placebo gel,Universal placebo gel,ext:placebo,1
Placebo for MFNS,Placebo for MFNS,ext:placebo,1
Citrulline and placebo,Citrulline and placebo,ext:placebo,1
Placebo Lauriad®,Placebo Lauriad,ext:placebo,1
ozenoxacin placebo,ozenoxacin placebo,ext:placebo,1
AMG 827 or Placebo,AMG 827 or Placebo,ext:placebo,1
18F-fluoromethylcholine,18F-fluoromethylcholine,radiotracer/imaging,1
18 F FDG followed by PET/CT imaging,18 F FDG followed by PET/CT imaging,radiotracer/imaging,1
(99m Tc) ECDG (Ethylenedicysteine-Deoxyglucose),(99m Tc) ECDG (Ethylenedicysteine-Deoxyglucose),ext:glucose,1
magnesium sulfate and priming,magnesium sulfate and priming,ext:magnesium sulfate,1
Placebo matching BMS-820836,Placebo matching BMS-820836,ext:placebo,1
Placebo to boceprevir,Placebo to boceprevir,ext:placebo,1
AMG 557 Placebo,AMG 557 Placebo,ext:placebo,1
placebo.,placebo.,ext:placebo,1
Placebo EP-101,Placebo EP-101,ext:placebo,1
Salbutamol placebo,Salbutamol placebo,ext:placebo,1
LAS100977 placebo,LAS100977 placebo,ext:placebo,1
Lactated Ringers Solution,Lactated Ringers Solution,ext:ringer,1
3% NaCl Solution,3% NaCl Solution,ext:nacl,1
Sertraline + Placebo,Sertraline + Placebo,ext:placebo,1
Placebo of AFATINIB,Placebo of AFATINIB,ext:placebo,1
Contrast Enhanced Ultrasonography,Contrast Enhanced Ultrasonography,ext:contrast,1
low dose FDC placebo,low dose FDC placebo,ext:placebo,1
low dose BI 10773 placebo,low dose BI 10773 placebo,ext:placebo,1
high dose FDC placebo,high dose FDC placebo,ext:placebo,1
HF1020 placebo,HF1020 placebo,ext:placebo,1
Placebo + OBR,Placebo + OBR,ext:placebo,1
Atrasentan placebo group,Atrasentan placebo group,ext:placebo,1
Lactated Ringer´s solution,Lactated Ringer´s solution,ext:ringer,1
Placebo for pioglitazone hydrochloride,Placebo for pioglitazone hydrochloride,ext:placebo,1
Placebo for MK-4074,Placebo for MK-4074,ext:placebo,1
Chinese herbal medicine granules or Chinese herbal medicine granules placebo,Chinese herbal medicine granules or Chinese herbal medicine granules placebo,ext:placebo,1
Terbinafine Placebo,Terbinafine Placebo,ext:placebo,1
administration of magnesium sulfate,administration of magnesium sulfate,ext:magnesium sulfate,1
Placebo infusion of .9 normal saline,Placebo infusion of .9 normal saline,ext:placebo,1
saline 15 ml,saline 15 ml,ext:saline,1
Placebo to Match GS-9669 tablet,Placebo to Match GS-9669 tablet,ext:placebo,1
"Sodium Chloride , USP PPC","Sodium Chloride , USP PPC",canonical:Sodium Chloride,1
Magnesium Sulfate Sandoz,Magnesium Sulfate Sandoz,ext:magnesium sulfate,1
Placebo for etoricoxib,Placebo for etoricoxib,ext:placebo,1
Vehicle pre foam formulation,Vehicle pre foam formulation,ext:vehicle,1
Hyperbaric Oxygen (1.5 atm abs),Hyperbaric Oxygen (1.5 atm abs),ext:oxygen,1
Vehicle pre-foam formulation,Vehicle pre-foam formulation,ext:vehicle,1
high dose BI 10773 placebo,high dose BI 10773 placebo,ext:placebo,1
BI 10773 low dose placebo,BI 10773 low dose placebo,ext:placebo,1
ISIS CRP Rx or Placebo,ISIS CRP Rx or Placebo,ext:placebo,1
Nasal oxygen,Nasal oxygen,ext:oxygen,1
0.9% Sodium Chloride 2000 mL bolus,0.9% Sodium Chloride 2000 mL bolus,canonical:Sodium Chloride,1
Placebo (methotrexate),Placebo (methotrexate),ext:placebo,1
Placebo (masitinib),Placebo (masitinib),ext:placebo,1
Vitamin D placebo,Vitamin D placebo,ext:placebo,1
Oral Glucose Tolerance Test,Oral Glucose Tolerance Test,ext:glucose,1
0.9% Sodium Chloride 250 mL bolus,0.9% Sodium Chloride 250 mL bolus,canonical:Sodium Chloride,1
4 degree chilled saline,4 degree chilled saline,ext:saline,1
Vaccine+Placebo,Vaccine+Placebo,ext:placebo,1
[11C]LY2428703,[11C]LY2428703,radiotracer/imaging,1
Placebo to sugammadex,Placebo to sugammadex,ext:placebo,1
Placebo to neostigmine,Placebo to neostigmine,ext:placebo,1
Drug: placebo,Drug: placebo,ext:placebo,1
Placebo tea,Placebo tea,ext:placebo,1
^1^8F-fluorodeoxyglucose,^1^8F-fluorodeoxyglucose,ext:glucose,1
"sugar pill, saline infusion","sugar pill, saline infusion",ext:saline,1
Xenon contrast agent,Xenon contrast agent,ext:contrast,1
"Panitumumab, Doxycycline/Placebo","Panitumumab, Doxycycline/Placebo",ext:placebo,1
Ringer- albumin,Ringer- albumin,ext:ringer,1
Metronidazole + MMX Mesalazine/mesalamine placebo,Metronidazole + MMX Mesalazine/mesalamine placebo,ext:placebo,1
Isotonic normal saline,Isotonic normal saline,ext:saline,1
placebo for atorvastin,placebo for atorvastin,ext:placebo,1
zanamivir placebo + 400 mg moxifloxacin,zanamivir placebo + 400 mg moxifloxacin,ext:placebo,1
1200 mg zanamivir + moxifloxacin placebo,1200 mg zanamivir + moxifloxacin placebo,ext:placebo,1
Arthroscopy & saline irrigation alone,Arthroscopy & saline irrigation alone,ext:saline,1
Placebo + Prolonged Imaginal Exposure,Placebo + Prolonged Imaginal Exposure,ext:placebo,1
Placebo (sugar pill) + Virtual Reality Exposure,Placebo (sugar pill) + Virtual Reality Exposure,ext:placebo,1
"Physiological serum : sodium chloride, sodium citrate","Physiological serum : sodium chloride, sodium citrate",canonical:Sodium Chloride,1
0.9 NS Saline,0.9 NS Saline,ext:saline,1
Placebo/sugar pill,Placebo/sugar pill,ext:placebo,1
AZD3839 Placebo,AZD3839 Placebo,ext:placebo,1
7.2% NaCl/hydroxyethylstarch,7.2% NaCl/hydroxyethylstarch,ext:nacl,1
Placebo for KM-023,Placebo for KM-023,ext:placebo,1
Comparator 2 (with alcohol and caffeine; without energy drink),Comparator 2 (with alcohol and caffeine; without energy drink),ext:alcohol,1
"Placebo (without alcohol, caffeine, energy drink)","Placebo (without alcohol, caffeine, energy drink)",ext:placebo,1
Comparator 3 (with alcohol and energy drink),Comparator 3 (with alcohol and energy drink),ext:alcohol,1
Comparator 1 (with alcohol; without caffeine and energy drink),Comparator 1 (with alcohol; without caffeine and energy drink),ext:alcohol,1
eflornithine & sulindac placebo,eflornithine & sulindac placebo,ext:placebo,1
Eflornithine placebo & sulindac placebo,Eflornithine placebo & sulindac placebo,ext:placebo,1
Eflornithine placebo & sulindac,Eflornithine placebo & sulindac,ext:placebo,1
600 mg zanamivir + moxifloxacin placebo,600 mg zanamivir + moxifloxacin placebo,ext:placebo,1
zanamivir placebo + moxifloxacin placebo,zanamivir placebo + moxifloxacin placebo,ext:placebo,1
Premixed 50% nitrous oxide and oxygen (Kalinox),Premixed 50% nitrous oxide and oxygen (Kalinox),ext:oxygen,1
99mTc-EC-DG,99mTc-EC-DG,radiotracer/imaging,1
CRD007 matching placebo,CRD007 matching placebo,ext:placebo,1
Placebo for Grazoprevir,Placebo for Grazoprevir,ext:placebo,1
Placebo for Boceprevir,Placebo for Boceprevir,ext:placebo,1
Placebo to MK-1972,Placebo to MK-1972,ext:placebo,1
Inhalation Helium/Oxygen,Inhalation Helium/Oxygen,ext:oxygen,1
GS-9451 Placebo,GS-9451 Placebo,ext:placebo,1
"saline, efficacy","saline, efficacy",ext:saline,1
Iferanserin + Placebo,Iferanserin + Placebo,ext:placebo,1
Inhalation Nitrogen/Oxygen,Inhalation Nitrogen/Oxygen,ext:nitrogen,1
tacrolimus placebo,tacrolimus placebo,ext:placebo,1
leflunomide placebo,leflunomide placebo,ext:placebo,1
paricalcitol placebo,paricalcitol placebo,ext:placebo,1
maxacalcitol placebo,maxacalcitol placebo,ext:placebo,1
Group C - Placebo,Group C - Placebo,ext:placebo,1
SIM-matching placebo,SIM-matching placebo,ext:placebo,1
Placebo Run-In,Placebo Run-In,ext:placebo,1
18F FLT,18F FLT,radiotracer/imaging,1
Placebo/Dalfampridine,Placebo/Dalfampridine,ext:placebo,1
Dalfampridine/Placebo,Dalfampridine/Placebo,ext:placebo,1
BHQ880 Placebo,BHQ880 Placebo,ext:placebo,1
Placebo for MK-4618,Placebo for MK-4618,ext:placebo,1
Placebo powder capsules,Placebo powder capsules,ext:placebo,1
Scopolamine + Donepezil Placebo + PF-04995274 Placebo,Scopolamine + Donepezil Placebo + PF-04995274 Placebo,ext:placebo,1
Scopolamine + Donepezil Placebo + PF-04995274 15 mg,Scopolamine + Donepezil Placebo + PF-04995274 15 mg,ext:placebo,1
Scopolamine + Donepezil Placebo + PF-04995274 0.25 mg,Scopolamine + Donepezil Placebo + PF-04995274 0.25 mg,ext:placebo,1
Scopolamine + Donepezil 5 mg + PF-04995274 Placebo,Scopolamine + Donepezil 5 mg + PF-04995274 Placebo,ext:placebo,1
Scopolamine + Donepezil 10mg + PF-04995274 Placebo,Scopolamine + Donepezil 10mg + PF-04995274 Placebo,ext:placebo,1
placebo for maraviroc,placebo for maraviroc,ext:placebo,1
placebo for emtricitabine/tenofovir,placebo for emtricitabine/tenofovir,ext:placebo,1
Vehicle cream with PDT,Vehicle cream with PDT,ext:vehicle,1
"LEO 90100 cutaneous spray, ointment, vehicle with betamethasone dipropionate","LEO 90100 cutaneous spray, ointment, vehicle with betamethasone dipropionate",ext:vehicle,1
"LEO 90100 cutaneous spray, ointment, vehicle","LEO 90100 cutaneous spray, ointment, vehicle",ext:vehicle,1
Matching placebo (medium dose),Matching placebo (medium dose),ext:placebo,1
Matching placebo (low dose),Matching placebo (low dose),ext:placebo,1
Matching placebo (high dose),Matching placebo (high dose),ext:placebo,1
Placebo (Sugar pill),Placebo (Sugar pill),ext:placebo,1
"Active Comparator: Atomoxetine, Placebo","Active Comparator: Atomoxetine, Placebo",ext:placebo,1
Placebo for MK-1029 100 mg,Placebo for MK-1029 100 mg,ext:placebo,1
Placebo for MK-1029 10 mg,Placebo for MK-1029 10 mg,ext:placebo,1
Placebo to zoledronic acid,Placebo to zoledronic acid,ext:placebo,1
placebo match for 10 mg ecallantide arm,placebo match for 10 mg ecallantide arm,ext:placebo,1
placebo match for 30 mg ecallantide arm,placebo match for 30 mg ecallantide arm,ext:placebo,1
Ultiva (remifentanil) or placebo,Ultiva (remifentanil) or placebo,ext:placebo,1
Placebo matching KRP203,Placebo matching KRP203,ext:placebo,1
Placebo for posaconazole,Placebo for posaconazole,ext:placebo,1
Placebo and Erlotinib,Placebo and Erlotinib,ext:placebo,1
Placebo (for Pentoxifylline),Placebo (for Pentoxifylline),ext:placebo,1
BMS-945429 Placebo,BMS-945429 Placebo,ext:placebo,1
PF-05190457 or Placebo,PF-05190457 or Placebo,ext:placebo,1
Pantoprazole + Placebo,Pantoprazole + Placebo,ext:placebo,1
123I-meta-iodobenzylguanidine,123I-meta-iodobenzylguanidine,radiotracer/imaging,1
Placebo for Oxyntomodulin,Placebo for Oxyntomodulin,ext:placebo,1
Placebo for Liraglutide,Placebo for Liraglutide,ext:placebo,1
Placebo/Saline solution,Placebo/Saline solution,ext:placebo,1
Placebo-matching alcoholic beverage,Placebo-matching alcoholic beverage,ext:placebo,1
Placebo-matching LY2216684,Placebo-matching LY2216684,ext:placebo,1
Placebo Cutaneous Spray,Placebo Cutaneous Spray,ext:placebo,1
"Placebo, desmopressin","Placebo, desmopressin",ext:placebo,1
Canagliflozin 300mg/Placebo,Canagliflozin 300mg/Placebo,ext:placebo,1
Group 2: Placebo,Group 2: Placebo,ext:placebo,1
hypertonic saline 3% sodium chloride solution,hypertonic saline 3% sodium chloride solution,canonical:Sodium Chloride,1
Miltefosine 150 mg x day + Placebo,Miltefosine 150 mg x day + Placebo,ext:placebo,1
Placebo (Part A),Placebo (Part A),ext:placebo,1
Randomized pills either containing combination of lycopene and isoflavones (dietary supplements) or Placebo to be taken for 12 weeks,Randomized pills either containing combination of lycopene and isoflavones (dietary supplements) or Placebo to be taken for 12 weeks,ext:placebo,1
everolimus placebo,everolimus placebo,ext:placebo,1
Carbamazepine (Tegretol XR) Placebo,Carbamazepine (Tegretol XR) Placebo,ext:placebo,1
Placebo for Fluticasone Propionate,Placebo for Fluticasone Propionate,ext:placebo,1
placebo (for choline alphoscerate),placebo (for choline alphoscerate),ext:placebo,1
epoprostenol versus normal saline,epoprostenol versus normal saline,ext:saline,1
placebo to secukinumab 150 mg,placebo to secukinumab 150 mg,ext:placebo,1
Ethanol lock,Ethanol lock,ext:ethanol,1
Placebo erlotinib,Placebo erlotinib,ext:placebo,1
Placebo PF00299804,Placebo PF00299804,ext:placebo,1
[11C] JNJ-42491293 + JNJ-40411813,[11C] JNJ-42491293 + JNJ-40411813,radiotracer/imaging,1
[11C] JNJ-42491293,[11C] JNJ-42491293,radiotracer/imaging,1
Vehicle without active,Vehicle without active,ext:vehicle,1
Placebo for Aprepitant PFS,Placebo for Aprepitant PFS,ext:placebo,1
Placebo for Aprepitant 80 mg,Placebo for Aprepitant 80 mg,ext:placebo,1
Placebo for Aprepitant 125 mg,Placebo for Aprepitant 125 mg,ext:placebo,1
mFOLFOX6+placebo,mFOLFOX6+placebo,ext:placebo,1
0.45% saline intravenous fluid,0.45% saline intravenous fluid,ext:saline,1
0.45% saline replacement fluid,0.45% saline replacement fluid,ext:saline,1
0.9% saline Intravenous fluid,0.9% saline Intravenous fluid,ext:saline,1
Dextrose-containing IV Fluids,Dextrose-containing IV Fluids,ext:dextrose,1
BMS-820836 Placebo,BMS-820836 Placebo,ext:placebo,1
Standard Care control - sliding scale insulin to keep glucose less than 180 mg/dL,Standard Care control - sliding scale insulin to keep glucose less than 180 mg/dL,ext:glucose,1
IV insulin to maintain target glucose concentration of 80-130 mg/dL,IV insulin to maintain target glucose concentration of 80-130 mg/dL,ext:glucose,1
Vitamin complex (placebo),Vitamin complex (placebo),ext:placebo,1
Placebo to MK-7145,Placebo to MK-7145,ext:placebo,1
Placebo to vaniprevir,Placebo to vaniprevir,ext:placebo,1
Piperacillin/tazobactam-matching placebo,Piperacillin/tazobactam-matching placebo,ext:placebo,1
Placebo for MK-1029,Placebo for MK-1029,ext:placebo,1
0.9% saline replacement fluid,0.9% saline replacement fluid,ext:saline,1
Placebo of Valturna Tablet,Placebo of Valturna Tablet,ext:placebo,1
azelastine hydrochloride 0.15% and Placebo,azelastine hydrochloride 0.15% and Placebo,ext:placebo,1
Hyperosmolar sodium lactate,Hyperosmolar sodium lactate,canonical:Sodium Lactate,1
Placebo (0.9% sodium chloride solution),Placebo (0.9% sodium chloride solution),canonical:Sodium Chloride,1
placebo/L-dopa,placebo/L-dopa,ext:placebo,1
Subcutaneous injection of saline,Subcutaneous injection of saline,ext:saline,1
Placebo for isoniazid (INH),Placebo for isoniazid (INH),ext:placebo,1
Color-matched vehicle in a cream formulation containing 0 mg of JNJ 10229570-AAA,Color-matched vehicle in a cream formulation containing 0 mg of JNJ 10229570-AAA,ext:vehicle,1
Standard treatment with saline infusion,Standard treatment with saline infusion,ext:saline,1
Intensive treatment with sodium bicarbonate,Intensive treatment with sodium bicarbonate,ext:sodium bicarbonate,1
NaCl 0.9% 100 ml,NaCl 0.9% 100 ml,canonical:NaCl 0.9%,1
"placebo first, then Ampyra","placebo first, then Ampyra",ext:placebo,1
"Ampyra first, then Placebo","Ampyra first, then Placebo",ext:placebo,1
placebo metformin,placebo metformin,ext:placebo,1
Placebo acarbose,Placebo acarbose,ext:placebo,1
111In Ibritumomab,111In Ibritumomab,radiotracer/imaging,1
Placebo-matching d-Cycloserine (DCS),Placebo-matching d-Cycloserine (DCS),ext:placebo,1
AMG 557 or PLACEBO,AMG 557 or PLACEBO,ext:placebo,1
Color-matched vehicle containing 0 mg of JNJ 10229570-AAA,Color-matched vehicle containing 0 mg of JNJ 10229570-AAA,ext:vehicle,1
Placebo matching BMS-241027,Placebo matching BMS-241027,ext:placebo,1
18F-RGD-PET-CT and perfusion CT scans on 3 occasions,18F-RGD-PET-CT and perfusion CT scans on 3 occasions,radiotracer/imaging,1
GSK2251052 0.9% saline,GSK2251052 0.9% saline,ext:saline,1
PF-06291874 or placebo,PF-06291874 or placebo,ext:placebo,1
PF-06291874 or Placebo,PF-06291874 or Placebo,ext:placebo,1
TC-5214 Placebo,TC-5214 Placebo,ext:placebo,1
Rasagiline/Placebo,Rasagiline/Placebo,ext:placebo,1
Placebo gabapentin,Placebo gabapentin,ext:placebo,1
Technetium,Technetium,radiotracer/imaging,1
Placebo/Adjunctive SGA treatment,Placebo/Adjunctive SGA treatment,ext:placebo,1
Pregabalin Placebo Capsules,Pregabalin Placebo Capsules,ext:placebo,1
Placebo-matching Mifepristone,Placebo-matching Mifepristone,ext:placebo,1
continuous infusion of normal saline added to prophylactic single injection of palonosetron,continuous infusion of normal saline added to prophylactic single injection of palonosetron,ext:saline,1
mericitabine placebo,mericitabine placebo,ext:placebo,1
boceprevir placebo,boceprevir placebo,ext:placebo,1
Conventional therapy plus placebo treatment,Conventional therapy plus placebo treatment,ext:placebo,1
Sulindac placebo,Sulindac placebo,ext:placebo,1
Eflornithine Placebo,Eflornithine Placebo,ext:placebo,1
NRT Patch (Placebo),NRT Patch (Placebo),ext:placebo,1
Atomized Intraperitoneal Saline (AIS),Atomized Intraperitoneal Saline (AIS),ext:saline,1
Placebo to match SIM,Placebo to match SIM,ext:placebo,1
AL-4943A vehicle,AL-4943A vehicle,ext:vehicle,1
Cimicifuga Herbarium,Cimicifuga Herbarium,ext:barium,1
100 mg Placebo,100 mg Placebo,ext:placebo,1
BI 144807 Placebo,BI 144807 Placebo,ext:placebo,1
Placebo/JNJ-39758979 (300 mg/d),Placebo/JNJ-39758979 (300 mg/d),ext:placebo,1
Amiodarone with Placebo,Amiodarone with Placebo,ext:placebo,1
Placebo matching with BMS-986001,Placebo matching with BMS-986001,ext:placebo,1
3% sodium chloride,3% sodium chloride,canonical:Sodium Chloride,1
Dexamethasone 2.5 mg and placebo tablet,Dexamethasone 2.5 mg and placebo tablet,ext:placebo,1
Perforomist-Placebo,Perforomist-Placebo,ext:placebo,1
Insertion of placebo ointment,Insertion of placebo ointment,ext:placebo,1
"the placebo ,chemotherapy(mitomycin, and Fluorouracil )","the placebo ,chemotherapy(mitomycin, and Fluorouracil )",ext:placebo,1
Lipiodol Ethanol Mixture,Lipiodol Ethanol Mixture,ext:ethanol,1
"CP-690,550 or Placebo","CP-690,550 or Placebo",ext:placebo,1
Elpenhaler active - Diskus placebo,Elpenhaler active - Diskus placebo,ext:placebo,1
placebo to indacaterol (PoS),placebo to indacaterol (PoS),ext:placebo,1
placebo to indacaterol (LB),placebo to indacaterol (LB),ext:placebo,1
Placebo (placebo for teriflunomide),Placebo (placebo for teriflunomide),ext:placebo,1
Placebo drugs,Placebo drugs,ext:placebo,1
Sodium Chloride 9mg/ml,Sodium Chloride 9mg/ml,canonical:Sodium Chloride,1
nafamostat infusion after heparinized saline priming,nafamostat infusion after heparinized saline priming,ext:saline,1
heparinized saline priming group,heparinized saline priming group,ext:saline,1
placebo chinese medicine,placebo chinese medicine,ext:placebo,1
placebo to ramipril,placebo to ramipril,ext:placebo,1
Nebulized magnesium sulfate,Nebulized magnesium sulfate,ext:magnesium sulfate,1
Placebo (20% Intralipid),Placebo (20% Intralipid),ext:placebo,1
"Placebo, MK-0431/ONO-5435","Placebo, MK-0431/ONO-5435",ext:placebo,1
NVA237 placebo + Tiotropium placebo.,NVA237 placebo + Tiotropium placebo.,ext:placebo,1
"NaCl (0,9%)","NaCl (0,9%)",ext:nacl,1
Placebo of Quick-Acting Heart Reliever,Placebo of Quick-Acting Heart Reliever,ext:placebo,1
Weekly placebo for CJC-1134-PC Injection,Weekly placebo for CJC-1134-PC Injection,ext:placebo,1
placebo (somapacitan),placebo (somapacitan),ext:placebo,1
Ha44 Placebo,Ha44 Placebo,ext:placebo,1
Normal saline .2cc subcutaneous injection,Normal saline .2cc subcutaneous injection,ext:saline,1
Dronedarone placebo,Dronedarone placebo,ext:placebo,1
Placebo for DPK-060 ointment,Placebo for DPK-060 ointment,ext:placebo,1
Metformin/Placebo,Metformin/Placebo,ext:placebo,1
placebo vaginal capsules,placebo vaginal capsules,ext:placebo,1
Placebo Patches,Placebo Patches,ext:placebo,1
Naltrexone and Placebo first,Naltrexone and Placebo first,ext:placebo,1
"Fimasartan , Amlodipine, Placebo","Fimasartan , Amlodipine, Placebo",ext:placebo,1
Sterile saline (0.9%),Sterile saline (0.9%),ext:saline,1
Placebo Moxifloxacin,Placebo Moxifloxacin,ext:placebo,1
Stage 1 - Vehicle,Stage 1 - Vehicle,ext:vehicle,1
Placebo of Isosorbide Dinitrate,Placebo of Isosorbide Dinitrate,ext:placebo,1
Sucrose Placebo (water),Sucrose Placebo (water),ext:placebo,1
Lidocaine Placebo,Lidocaine Placebo,ext:placebo,1
TCM granules placebo,TCM granules placebo,ext:placebo,1
TCM granule placebo plus western basis treatment,TCM granule placebo plus western basis treatment,ext:placebo,1
18F-AV-45,18F-AV-45,radiotracer/imaging,1
Placebo to relebactam,Placebo to relebactam,ext:placebo,1
placebo of duloxetine,placebo of duloxetine,ext:placebo,1
injection of placebo of apomorphine,injection of placebo of apomorphine,ext:placebo,1
injection of placebo of L-Dopa,injection of placebo of L-Dopa,ext:placebo,1
hydroxyzine/placebo,hydroxyzine/placebo,ext:placebo,1
"hepatitis, alcohol, probiotics","hepatitis, alcohol, probiotics",ext:alcohol,1
"alcohol, hepatitis, Placebo","alcohol, hepatitis, Placebo",ext:placebo,1
"Placebo (caffeine, paracetamol, cephalexin, or ibuprofen)","Placebo (caffeine, paracetamol, cephalexin, or ibuprofen)",ext:placebo,1
18F-FACBC Radiotracer,18F-FACBC Radiotracer,radiotracer/imaging,1
Placebo Metered Dose Inhaler (MDI),Placebo Metered Dose Inhaler (MDI),ext:placebo,1
Placebo Dry Powder Inhaler (DPI),Placebo Dry Powder Inhaler (DPI),ext:placebo,1
Placebo - ascorbic acid,Placebo - ascorbic acid,ext:placebo,1
Buffered Saline,Buffered Saline,ext:saline,1
Probiotics (Medirac) placebo/mosapride placebo,Probiotics (Medirac) placebo/mosapride placebo,ext:placebo,1
Placebo to BI 655064,Placebo to BI 655064,ext:placebo,1
Homeopathic Placebo globules,Homeopathic Placebo globules,ext:placebo,1
AMG 811 or Placebo,AMG 811 or Placebo,ext:placebo,1
"Taper 3,4-DAP to Placebo","Taper 3,4-DAP to Placebo",ext:placebo,1
acetated Ringer's solution,acetated Ringer's solution,ext:ringer,1
"Placebo lansoprazole 30mg, clarithromycin 500mg, metronidazole 400mg","Placebo lansoprazole 30mg, clarithromycin 500mg, metronidazole 400mg",ext:placebo,1
Administration of saline,Administration of saline,ext:saline,1
Matching placebo to relebactam,Matching placebo to relebactam,ext:placebo,1
Placebo (2.3% DMSO solution),Placebo (2.3% DMSO solution),ext:placebo,1
Placebo for DPK-060 ear drops,Placebo for DPK-060 ear drops,ext:placebo,1
Placebo for MK-8457,Placebo for MK-8457,ext:placebo,1
Placebo (Solution),Placebo (Solution),ext:placebo,1
Placebo (Lyophilized formulation),Placebo (Lyophilized formulation),ext:placebo,1
Placebo matching BMS-790052,Placebo matching BMS-790052,ext:placebo,1
"Ringer-lactate ""SAD""","Ringer-lactate ""SAD""",ext:ringer,1
Placebo NSAID,Placebo NSAID,ext:placebo,1
Varenicline and Placebo Patch,Varenicline and Placebo Patch,ext:placebo,1
Placebo with low-fat meal,Placebo with low-fat meal,ext:placebo,1
Placebo QD Fasted,Placebo QD Fasted,ext:placebo,1
Placebo BID Fasted,Placebo BID Fasted,ext:placebo,1
Mannitol challenge test & reversibility test,Mannitol challenge test & reversibility test,ext:mannitol,1
Acetaminophen + placebo,Acetaminophen + placebo,ext:placebo,1
Saline will be injected at the study port site prior to incision,Saline will be injected at the study port site prior to incision,ext:saline,1
Saline will be in injected into the port site prior to closure,Saline will be in injected into the port site prior to closure,ext:saline,1
"Acetylsalicylic Acid (Aspirin, BAY1019036) + placebo","Acetylsalicylic Acid (Aspirin, BAY1019036) + placebo",ext:placebo,1
Placebo matching BMS-708163,Placebo matching BMS-708163,ext:placebo,1
Placebo to match hydrocodone bitartrate q24h tablets,Placebo to match hydrocodone bitartrate q24h tablets,ext:placebo,1
tanshinone placebo,tanshinone placebo,ext:placebo,1
Placebo KI1001,Placebo KI1001,ext:placebo,1
"Placebo , Oxaliplatin","Placebo , Oxaliplatin",ext:placebo,1
Placebo + Glucocorticoids (GCs),Placebo + Glucocorticoids (GCs),ext:placebo,1
.9 normal saline,.9 normal saline,ext:saline,1
Saline 0.06 ml/kg,Saline 0.06 ml/kg,ext:saline,1
Placebo for Laropiprant,Placebo for Laropiprant,ext:placebo,1
placebo + life style counselling,placebo + life style counselling,ext:placebo,1
"Placebo (no caffeine, no water).","Placebo (no caffeine, no water).",ext:placebo,1
"Placebo, gonadotropins in step-up regimen","Placebo, gonadotropins in step-up regimen",ext:placebo,1
Placebo po,Placebo po,ext:placebo,1
24% sucrose po solution,24% sucrose po solution,ext:sucrose,1
Gadofosveset contrast agent enhanced MRI Axilla,Gadofosveset contrast agent enhanced MRI Axilla,ext:contrast,1
GDC-0980 Matching Placebo,GDC-0980 Matching Placebo,ext:placebo,1
GDC-0941 Matching Placebo,GDC-0941 Matching Placebo,ext:placebo,1
placebo beverage,placebo beverage,ext:placebo,1
placebo matching ribavirin tablet,placebo matching ribavirin tablet,ext:placebo,1
placebo for SHAPE (SHP-141),placebo for SHAPE (SHP-141),ext:placebo,1
Placebo DLBS1425,Placebo DLBS1425,ext:placebo,1
ALK HDM AIT Placebo,ALK HDM AIT Placebo,ext:placebo,1
placebo to match RBV,placebo to match RBV,ext:placebo,1
