aact_name,clean,nontherap_reason,n_trials
Cream vehicle,Cream vehicle,ext:vehicle,5
[18F]fluoro-2-deoxy-D-glucose (FDG),[18F]fluoro-2-deoxy-D-glucose (FDG),radiotracer/imaging,5
Placebo to sitagliptin,Placebo to sitagliptin,ext:placebo,5
Placebo for lenvatinib,Placebo for lenvatinib,ext:placebo,5
PAC-14028 cream vehicle,PAC-14028 cream vehicle,ext:vehicle,5
[18F]NOS,[18F]NOS,radiotracer/imaging,5
225Ac-J591,225Ac-J591,radiotracer/imaging,5
Normal Saline 0.9%,Normal Saline 0.9%,ext:saline,5
Placebo granules,Placebo granules,ext:placebo,5
hyperbaric oxygen,hyperbaric oxygen,ext:oxygen,5
Placebo + placebo,Placebo + placebo,ext:placebo,5
B/F/TAF Placebo,B/F/TAF Placebo,ext:placebo,5
Nacl 0.9%,Nacl 0.9%,canonical:NaCl 0.9%,5
treprostinil diethanolamine,treprostinil diethanolamine,ext:ethanol,5
Normal Saline along with standard treatment,Normal Saline along with standard treatment,ext:saline,5
placebo eye drops,placebo eye drops,ext:placebo,5
18F-MK-6240,18F-MK-6240,radiotracer/imaging,5
Linaclotide 290 micrograms,Linaclotide 290 micrograms,ext:nacl,5
placebo for adalimumab,placebo for adalimumab,ext:placebo,5
Sodium Chloride (NaCl) 0.9 %,Sodium Chloride (NaCl) 0.9 %,canonical:Sodium Chloride,5
Placebo Treatment,Placebo Treatment,ext:placebo,5
Placebo to omarigliptin,Placebo to omarigliptin,ext:placebo,5
saline infusion,saline infusion,ext:saline,5
Motexafin Gadolinium Injection,Motexafin Gadolinium Injection,ext:gadolinium,5
Placebo to Sitagliptin,Placebo to Sitagliptin,ext:placebo,5
sterile saline,sterile saline,ext:saline,5
Lactated Ringer's Solution,Lactated Ringer's Solution,ext:ringer,5
IDP-118 Vehicle Lotion,IDP-118 Vehicle Lotion,ext:vehicle,5
Placebo Ointment,Placebo Ointment,ext:placebo,5
F/TAF Placebo,F/TAF Placebo,ext:placebo,5
Fluorodopa F 18,Fluorodopa F 18,radiotracer/imaging,5
TAK-438 Placebo,TAK-438 Placebo,ext:placebo,5
Placebo A,Placebo A,ext:placebo,5
Placebo (matched to SUZ),Placebo (matched to SUZ),ext:placebo,5
Placebo (for Dupilumab),Placebo (for Dupilumab),ext:placebo,5
bimatoprost vehicle solution,bimatoprost vehicle solution,ext:vehicle,5
linaclotide,linaclotide,ext:nacl,5
Placebo (matched to HB/APAP),Placebo (matched to HB/APAP),ext:placebo,5
Placebo to Evolocumab,Placebo to Evolocumab,ext:placebo,5
"Saline Solution (NaCl 0,9%)","Saline Solution (NaCl 0,9%)",ext:saline,5
Placebo.,Placebo.,ext:placebo,5
18-FDG,18-FDG,radiotracer/imaging,5
Placebo suppository,Placebo suppository,ext:placebo,5
Placebo spray,Placebo spray,ext:placebo,5
68Ga-Pentixafor,68Ga-Pentixafor,radiotracer/imaging,5
TAF Placebo,TAF Placebo,ext:placebo,5
68Ga-BNOTA-PRGD2,68Ga-BNOTA-PRGD2,radiotracer/imaging,5
Normal Saline Solution,Normal Saline Solution,ext:saline,5
18F-MFBG,18F-MFBG,radiotracer/imaging,5
"Saline (0.9%, sterile, for infusion)","Saline (0.9%, sterile, for infusion)",ext:saline,5
Placebo pMDI,Placebo pMDI,ext:placebo,5
Calcium chloride,Calcium chloride,ext:calcium chloride,5
Broncho-Vaxom,Broncho-Vaxom,canonical:Broncho-Vaxom,5
Florbetapir F 18,Florbetapir F 18,radiotracer/imaging,5
Placebo to BIC/FTC/TAF,Placebo to BIC/FTC/TAF,ext:placebo,5
Placebo for Atogepant,Placebo for Atogepant,ext:placebo,5
[68Ga]Ga-PSMA-11,[68Ga]Ga-PSMA-11,radiotracer/imaging,5
Medical air,Medical air,ext:medical air,4
Placebo to NVA237,Placebo to NVA237,ext:placebo,4
Placebo to match RBV,Placebo to match RBV,ext:placebo,4
10% dextrose,10% dextrose,ext:dextrose,4
Normal Saline Flush,Normal Saline Flush,ext:saline,4
Placebo to salmeterol,Placebo to salmeterol,ext:placebo,4
68Ga-FAPI-04,68Ga-FAPI-04,radiotracer/imaging,4
Ondansetron Placebo,Ondansetron Placebo,ext:placebo,4
placebo to TA,placebo to TA,ext:placebo,4
Dapagliflozin placebo,Dapagliflozin placebo,ext:placebo,4
Fish oil placebo,Fish oil placebo,ext:placebo,4
Nasal Carbon Dioxide,Nasal Carbon Dioxide,ext:carbon dioxide,4
AGN-199201 Vehicle,AGN-199201 Vehicle,ext:vehicle,4
Lactose Placebo,Lactose Placebo,ext:placebo,4
GV1001 Placebo,GV1001 Placebo,ext:placebo,4
Placebo intravenous,Placebo intravenous,ext:placebo,4
Placebo for BOTOX,Placebo for BOTOX,ext:placebo,4
Tiragolumab Matching Placebo,Tiragolumab Matching Placebo,ext:placebo,4
LX4211 Placebo,LX4211 Placebo,ext:placebo,4
Placebo + Placebo,Placebo + Placebo,ext:placebo,4
Topical Solution Vehicle,Topical Solution Vehicle,ext:vehicle,4
Placebo film,Placebo film,ext:placebo,4
Placebo oil,Placebo oil,ext:placebo,4
Placebo (blinded),Placebo (blinded),ext:placebo,4
4 mL Injection of Placebo,4 mL Injection of Placebo,ext:placebo,4
HL-1186 placebo,HL-1186 placebo,ext:placebo,4
Sodium-glucose cotransporter 2 inhibitor,Sodium-glucose cotransporter 2 inhibitor,ext:glucose,4
Placebo (MAD),Placebo (MAD),ext:placebo,4
Vehicle Spray,Vehicle Spray,ext:vehicle,4
Placebo (0.9% saline),Placebo (0.9% saline),ext:placebo,4
Lactated Ringer Solution,Lactated Ringer Solution,ext:ringer,4
Bupivacaine + saline,Bupivacaine + saline,ext:saline,4
Sterile Water Injection,Sterile Water Injection,ext:sterile water,4
Medical Air,Medical Air,ext:medical air,4
NaCl (placebo),NaCl (placebo),ext:placebo,4
iron sucrose,iron sucrose,ext:sucrose,4
Saline nasal spray,Saline nasal spray,ext:saline,4
Placebo Part B,Placebo Part B,ext:placebo,4
Placebo Topical Solution,Placebo Topical Solution,ext:placebo,4
placebo (saline),placebo (saline),ext:placebo,4
Gel Vehicle,Gel Vehicle,ext:vehicle,4
Topical Gel Vehicle,Topical Gel Vehicle,ext:vehicle,4
"Lactated Ringers, Intravenous","Lactated Ringers, Intravenous",ext:ringer,4
Sugar Pill (placebo),Sugar Pill (placebo),ext:placebo,4
Filgotinib placebo,Filgotinib placebo,ext:placebo,4
Placebo (Semaglutide),Placebo (Semaglutide),ext:placebo,4
Florbetapir (18F),Florbetapir (18F),radiotracer/imaging,4
intravenous placebo,intravenous placebo,ext:placebo,4
Placebo - Capsule,Placebo - Capsule,ext:placebo,4
placebo oral tablet,placebo oral tablet,ext:placebo,4
Placebo Topical Gel,Placebo Topical Gel,ext:placebo,4
0.9% Saline Solution,0.9% Saline Solution,ext:saline,4
Vehicle Ointment,Vehicle Ointment,ext:vehicle,4
Nexagon® vehicle,Nexagon vehicle,ext:vehicle,4
IDP-121 Vehicle Lotion,IDP-121 Vehicle Lotion,ext:vehicle,4
Matching Placebo Patch,Matching Placebo Patch,ext:placebo,4
[68Ga]Ga-NeoB,[68Ga]Ga-NeoB,radiotracer/imaging,4
[177Lu]Lu-NeoB,[177Lu]Lu-NeoB,radiotracer/imaging,4
177Lu-J591,177Lu-J591,radiotracer/imaging,4
Placebo (Part 2),Placebo (Part 2),ext:placebo,4
Placebo oral capsules,Placebo oral capsules,ext:placebo,4
Placebo to metformin,Placebo to metformin,ext:placebo,4
Intravenous saline,Intravenous saline,ext:saline,4
NT 201 Placebo,NT 201 Placebo,ext:placebo,4
[177Lu]Lu-PSMA I&T,[177Lu]Lu-PSMA I&T,radiotracer/imaging,4
Placebo to ISL,Placebo to ISL,ext:placebo,4
Estradiol/norethindrone acetate placebo,Estradiol/norethindrone acetate placebo,ext:placebo,4
Placebo for ABBV-932,Placebo for ABBV-932,ext:placebo,4
Placebo to match FF/UMEC/VI,Placebo to match FF/UMEC/VI,ext:placebo,4
Treprostinil diethanolamine,Treprostinil diethanolamine,ext:ethanol,4
18F-FSPG,18F-FSPG,radiotracer/imaging,4
Placebo Nasal Aerosol,Placebo Nasal Aerosol,ext:placebo,4
[18F] Flutemetamol,[18F] Flutemetamol,radiotracer/imaging,4
Placebo saline,Placebo saline,ext:placebo,4
5% dextrose,5% dextrose,ext:dextrose,4
Vehicle solution,Vehicle solution,ext:vehicle,4
0.9% saline solution,0.9% saline solution,ext:saline,4
Placebo (high dose),Placebo (high dose),ext:placebo,4
Placebo to Denosumab,Placebo to Denosumab,ext:placebo,4
Dapagliflozin Placebo,Dapagliflozin Placebo,ext:placebo,4
Ringer acetate,Ringer acetate,ext:ringer,4
ALK Diluent,ALK Diluent,ext:diluent,4
[18F]Flutemetamol,[18F]Flutemetamol,radiotracer/imaging,4
Placebo for ribavirin,Placebo for ribavirin,ext:placebo,4
[18F]F-AraG,[18F]F-AraG,radiotracer/imaging,4
vehicle cream,vehicle cream,ext:vehicle,4
Sorbitol,Sorbitol,ext:sorbitol,4
[18F]GTP1,[18F]GTP1,radiotracer/imaging,4
0.9% sodium chloride injection,0.9% sodium chloride injection,canonical:Sodium Chloride,4
Saline (placebo),Saline (placebo),ext:placebo,4
Tirzepatide Placebo,Tirzepatide Placebo,ext:placebo,4
Placebo for guselkumab,Placebo for guselkumab,ext:placebo,4
