smiles,inchikey,drug_name,chembl_id,drugbank_id,drug_targets_symbols,drug_targets_ensembl,drug_targets_enst,n_targets,n_ensembl_targets,n_enst_targets
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,JIVPVXMEBJLZRO-UHFFFAOYSA-N,Chlorthalidone,CHEMBL1055,,SLC12A3,ENSG00000070915,ENST00000262502;ENST00000438926;ENST00000563236;ENST00000563352;ENST00000566786;ENST00000569002;ENST00000898207;ENST00000898208;ENST00000898209;ENST00000898210;ENST00000898211;ENST00000898212;ENST00000898213;ENST00000898214;ENST00000898215;ENST00000898216;ENST00000898217;ENST00000898218;ENST00000898219;ENST00000898220;ENST00000898221;ENST00000898222;ENST00000898223;ENST00000898224;ENST00000898225;ENST00000898226;ENST00000898227,1,1,27
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,WWYNJERNGUHSAO-XUDSTZEESA-N,levonorgestrel,CHEMBL1389,,PGR,,,1,0,0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,LXMSZDCAJNLERA-ZHYRCANASA-N,spironolactone,CHEMBL1393,,NR3C2,ENSG00000151623,ENST00000342437;ENST00000344721;ENST00000358102;ENST00000503174;ENST00000503313;ENST00000504753;ENST00000511528;ENST00000512865;ENST00000625323;ENST00000870885;ENST00000870886;ENST00000870887;ENST00000870888,1,1,13
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O,CZGUSIXMZVURDU-FCWOTDAASA-N,Angiotensin II,CHEMBL4303676,,,,,0,0,0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,NXFQHRVNIOXGAQ-YCRREMRBSA-N,Nitrofurantoin,CHEMBL572,,,,,0,0,0
NCC(O)c1ccc(O)c(O)c1,SFLSHLFXELFNJZ-UHFFFAOYSA-N,Norepinephrine,CHEMBL432,,,,,0,0,0
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,SYTBZMRGLBWNTM-JTQLQIEISA-N,Esflurbiprofen,CHEMBL435298,,PTGS2;PTGS1,ENSG00000073756;ENSG00000095303,ENST00000367468;ENST00000466691;ENST00000490885;ENST00000559627;ENST00000680451;ENST00000681605;ENST00000223423;ENST00000362012;ENST00000373698;ENST00000426608;ENST00000540753;ENST00000619306;ENST00000643576;ENST00000643810;ENST00000645132;ENST00000647067;ENST00000863389;ENST00000863390;ENST00000863391;ENST00000863392;ENST00000863393,2,2,21
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,JGMOKGBVKVMRFX-HQZYFCCVSA-N,Dydrogesterone,CHEMBL1200853,,PGR,ENSG00000082175,ENST00000263463;ENST00000325455;ENST00000526300;ENST00000528960;ENST00000530764;ENST00000533207;ENST00000534013;ENST00000534780;ENST00000619228;ENST00000632634,1,1,10
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,QPCDCPDFJACHGM-UHFFFAOYSA-N,Muscadine Plus,CHEMBL780,,,,,0,0,0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC.Cl.O,KJBLQGHJOCAOJP-UHFFFAOYSA-N,metoclopramide,CHEMBL1200940,,HTR4;DRD2;HTR3A,,,3,0,0
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,HYHMLYSLQUKXKP-UHFFFAOYSA-N,Bempedoic Acid,CHEMBL3545313,,ACLY,ENSG00000131473,ENST00000352035;ENST00000353196;ENST00000393896;ENST00000537919;ENST00000588547;ENST00000588779;ENST00000590151;ENST00000590735;ENST00000590770;ENST00000592970;ENST00000884501;ENST00000884502;ENST00000884503;ENST00000884504;ENST00000884505;ENST00000884506;ENST00000884507;ENST00000884508;ENST00000884509;ENST00000884510;ENST00000884511;ENST00000884512;ENST00000884513;ENST00000884514;ENST00000884515;ENST00000884516;ENST00000937133;ENST00000937134;ENST00000937135;ENST00000937136;ENST00000937137;ENST00000937138;ENST00000937139;ENST00000937140;ENST00000937141;ENST00000937142;ENST00000937143;ENST00000937144;ENST00000937145;ENST00000937146;ENST00000937147;ENST00000937148;ENST00000937149;ENST00000937150;ENST00000941538;ENST00000941539;ENST00000941540;ENST00000941541;ENST00000941542;ENST00000941543;ENST00000941544;ENST00000941545;ENST00000941546,1,1,53
