NCT_ID,Drug_Clean,Disease,is_cytotoxic,disease_is_oncology,safety_cytotoxic_cap,cap_reason
NCT02618577,edoxaban,Atrial High Rate Episodes,0,0,0,
NCT02956486,Elenbecestat,Alzheimer's Disease,0,0,0,
NCT02711137,INCB057643,Solid Tumors,0,1,0,
NCT02820519,loxapine,Neuropathic Pain,0,0,0,
NCT02585388,anastrozole,Metastatic Breast Cancer,0,1,0,
NCT02489500,Bortezomib,AL Amyloidosis,0,0,0,
NCT02439138,idelalisib,Waldenstrom's Macroglobulinemia,0,0,0,
NCT02495233,gilteritinib,Lung Cancer,0,1,0,
NCT02457910,Taselisib,Metastatic Breast Cancer,0,1,0,
NCT02443194,duloxetine,Depression,0,0,0,
NCT02039219,Obeticholic Acid (OCA),Alcoholic Hepatitis,0,0,0,
NCT02053103,PF-05175157,Type 2 Diabetes Mellitus,0,0,0,
NCT02053116,PF-05175157,Type 2 Diabetes Mellitus,0,0,0,
NCT02173756,morphine,Cancer,0,1,0,
NCT01954082,myo-Inositol 5%,retinopathy of prematurity,0,0,0,
NCT01808950,0.06% Resiquimod - C,Cell Carcinoma,0,1,0,
NCT01888965,Dovitinib,Colorectal and Pancreas Cancer,0,1,0,
NCT01761747,ponatinib,Squamous Cell Lung and Head and Neck Cancer,0,1,0,
NCT01653418,Bortezomib,Multiple Myeloma,0,1,0,
NCT01266070,Dovitinib,Von Hippel-Lindau Syndrome,0,0,0,
NCT01560585,isotretinoin,Alzheimer's Disease,0,0,0,
NCT00978432,panobinostat,Cell Lymphoma,0,1,0,
NCT01792635,PF-05175157,Type 2 Diabetes Mellitus,0,0,0,
NCT01631279,TH-4000 (Tarloxotinib),"Unspecified Adult Solid Tumor, Protocol Specific",0,1,0,
NCT01712659,ruxolitinib,Adult T-Cell Leukemia,0,1,0,
NCT01611662,gemcitabine,Bladder Cancer,1,1,1,cytotoxic_managed_toxicity
NCT01319539,Akt Inhibitor MK2206,Breast Cancer,0,1,0,
NCT01351675,Bardoxolone Methyl:,Type 2 Diabetes,0,0,0,
NCT01491633,Dasatinib,Lung Cancer,0,1,0,
NCT01483690,decitabine,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,1,1,1,cytotoxic_managed_toxicity
NCT01277510,cinacalcet,"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",0,0,0,
NCT01388647,eribulin,Operable HER2 Positive Breast Cancer,0,1,0,
NCT01151137,dronedarone,Atrial Fibrillation,0,0,0,
NCT01108458,Erlotinib,Pancreatic Cancer,0,1,0,
NCT01127542,lenalidomide,Chronic Lymphocytic Leukaemia,0,0,0,
NCT01179737,nilotinib,Pulmonary Arterial Hypertension,0,0,0,
NCT01204853,sitaxentan,"Hypertension, Pulmonary",0,0,0,
NCT01210443,sitaxentan,"Hypertension, Pulmonary",0,0,0,
NCT00796510,sitaxentan,Pulmonary Arterial Hypertension; Pulmonary Hypertension,0,0,0,
NCT07194694,bupivacaine,Pain,0,0,0,
NCT06576882,amoxicillin,Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,0,0,0,
NCT06318481,clopidogrel,"Stent Thrombosis; Myocardial Infarction, Acute",0,0,0,
NCT06192108,dapagliflozin,Type 2 Diabetes,0,0,0,
NCT06415773,dapagliflozin,Type 2 Diabetes,0,0,0,
NCT07028697,daridorexant,insomnia,0,0,0,
NCT07289945,desflurane,Early Recovery in Elderly Patients; Cognitive Function,0,0,0,
NCT05214911,desloratadine,allergic rhinitis,0,0,0,
NCT07326904,esomeprazole,Gastro Oesophageal Reflux Disease,0,0,0,
NCT06590870,fentanyl,Procedural Pain,0,0,0,
NCT06206408,fezolinetant,hot flashes,0,0,0,
NCT06685679,melatonin,"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",0,0,0,
NCT05486416,propofol,General Anesthesia,0,0,0,
NCT06391931,propofol,Anesthesia,0,0,0,
NCT06714669,remimazolam,intraoperative hypotension,0,0,0,
NCT06744777,ribavirin,Dengue Hemorrhagic Fever,0,0,0,
NCT06466369,tadalafil,BPH With Other Lower Urinary Tract Symptoms,0,0,0,
NCT06258785,tizanidine,postoperative urinary retention,0,0,0,
NCT05761574,acetaminophen,Pain,0,0,0,
NCT05586971,allopurinol,gout,0,0,0,
NCT06088043,apremilast,plaque psoriasis,0,0,0,
NCT06108544,apremilast,plaque psoriasis,0,0,0,
NCT05861427,atogepant,migraine,0,0,0,
NCT05878093,budesonide,Chronic Rhinosinusitis With Nasal Polyps,0,0,0,
NCT06165679,bupivacaine,hemodynamic instability,0,0,0,
NCT06616441,bupivacaine,postoperative pain,0,0,0,
NCT05682326,daprodustat,anemia,0,0,0,
NCT06010693,daridorexant,insomnia,0,0,0,
NCT05988671,dexamethasone,Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,0,0,0,
NCT05763875,ezetimibe,Hypercholesterolemia,0,0,0,
NCT05692154,fexofenadine,seasonal allergic rhinitis,0,0,0,
NCT05690698,haloperidol,Hyperactive Delirium,0,0,0,
NCT05754996,lactulose,hepatic encephalopathy,0,0,0,
NCT05794555,lactulose,Cirrhosis,0,0,0,
NCT05763823,letermovir,Prevention of Cytomegalovirus Infection,0,0,0,
NCT06846307,mannitol,traumatic brain injury,0,0,0,
NCT06103188,melatonin,Anxiety; Preoperative Anxiety,0,0,0,
NCT05680129,metformin,T2DM; Type 2 Diabetes Mellitus,0,0,0,
NCT06042855,metformin,Covid19,0,0,0,
NCT06297954,metoclopramide,upper gastrointestinal bleeding,0,0,0,
NCT05458609,naltrexone,Alcohol Use Disorder,0,0,0,
NCT05630833,nitrofurantoin,Recurrent urinary tract infections,0,0,0,
NCT05680870,omeprazole,in Cancer,0,1,0,
NCT06091436,progesterone,Infertility,0,0,0,
NCT05615025,propofol,"Anesthesia, General; Neuromuscular Transmission Disorders",0,0,0,
NCT05836545,remimazolam,Healthy,0,0,0,
NCT06013345,remimazolam,atrial fibrillation,0,0,0,
NCT05810038,rimegepant,migraine,0,0,0,
NCT05779241,risperidone,Schizophrenia; Schizoaffective Disorder,0,0,0,
NCT05773846,ropivacaine,Post-surgical Pain,0,0,0,
NCT06103825,solriamfetol,sleep apnea,0,0,0,
NCT05753670,tamsulosin,Postoperative Retention of Urine,0,0,0,
NCT06135415,tirbanibulin,actinic keratosis,0,0,0,
NCT06278402,tofacitinib,Alopecia Areata; Alopecia Totalis; Alopecia Universalis,0,0,0,
NCT06215820,tramadol,Acute Pain; Post Operative Pain; Pain,0,0,0,
NCT06215859,tramadol,Acute Pain; Post Operative Pain; Pain,0,0,0,
NCT05811676,tranexamic acid,"Hemorrhage, Postpartum; Placenta Previa",0,0,0,
NCT06288685,triamcinolone,pain,0,0,0,
NCT06122649,apremilast,plaque psoriasis,0,0,0,
NCT05639946,brivaracetam,neuropathic pain,0,0,0,
NCT05726097,prucalopride,Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,0,1,0,
NCT05174065,apremilast,palmoplantar pustulosis,0,0,0,
NCT05216263,atogepant,chronic migraine,0,0,0,
NCT05311475,azelastine,seasonal allergic rhinitis,0,0,0,
NCT05292586,beclomethasone dipropionate,asthma,0,0,0,
NCT05656027,brimonidine,presbyopia,0,0,0,
NCT05624151,bupivacaine,pain,0,0,0,
NCT05430217,buspirone,Vertigo; Autonomic Dysfunction,0,0,0,
NCT05485805,caffeine,Pain,0,0,0,
NCT05439616,cariprazine,autism spectrum disorder,0,0,0,
NCT05439356,colchicine,Ischemic stroke,0,0,0,
NCT05196347,dapagliflozin,Chronic Kidney Diseases,0,0,0,
NCT05438875,eltrombopag,purpura,0,0,0,
NCT05364190,empagliflozin,Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,0,0,0,
NCT05950061,escitalopram,Major Depressive Disorder,0,0,0,
NCT05617820,estradiol,Dyspareunia,0,0,0,
