IK14,Disease,topo_upstream,topo_downstream,topo_net,topo_outdeg,kegg_shared,kegg_frac,ot_genetic_association,ot_genetic_literature,ot_somatic_mutation,ot_affected_pathway,ot_animal_model,ot_rna_expression,clingen,in_module,coverage_disease,coverage_drug,direct_target_max,direct_target_mean,direct_target_n_engaged_05,direct_target_n_genes_matched
YAYRGNWWLMLWJE,NSCLC,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.16658017,0.0709171902,0.0,10
YAYRGNWWLMLWJE,Non-Small Cell Lung Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.16658017,0.07594424819999998,0.0,10
YAYRGNWWLMLWJE,Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.16658017,0.0706690007,0.0,10
YAYRGNWWLMLWJE,Endometrial Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.268508,0.0958844908,0.0,10
YAYRGNWWLMLWJE,Triple Negative Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.15273796,0.0892579945,0.0,10
YAYRGNWWLMLWJE,Urothelial Carcinoma,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.16658017,0.07027111225,0.0,10
YAYRGNWWLMLWJE,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,0
YAYRGNWWLMLWJE,Esophageal Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.16078681,0.06830836870999998,0.0,10
YAYRGNWWLMLWJE,Ovarian Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.14720708,0.0774422152,0.0,10
YAYRGNWWLMLWJE,Advanced Cervical Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.15162195,0.06943201574999999,0.0,10
YAYRGNWWLMLWJE,Neoplasms,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.10507137,0.10507137,0.0,1
RZEKVGVHFLEQIL,Familial adenomatous polyposis,0.2,0.4,-0.2,7.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.8724991,0.3079031034,2.0,10
RZEKVGVHFLEQIL,Prostate Cancer,0.3333333333333333,0.43333333333333335,-0.1,7.0,11,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.3913223,0.1362540177,0.0,10
ZKLPARSLTMPFCP,Multiple Sclerosis,0.16666666666666666,0.06666666666666667,0.1,8.0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.38119313,0.25470831259999993,0.0,10
ZKLPARSLTMPFCP,Acute Urticaria,0.0,0.0,0.0,8.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.27679387,0.18287248,0.0,5
RRGUKTPIGVIEKM,Ischemic Stroke,0.0,0.1,-0.1,1.0,6,1.0,0.6546673717075597,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.55884683,0.18889157220000002,2.0,10
RRGUKTPIGVIEKM,Stroke,0.0,0.1,-0.1,1.0,6,1.0,0.7480804713863115,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.55884683,0.22550294600000004,2.0,10
WSEQXVZVJXJVFP,Dementia,0.0,0.13333333333333333,-0.13333333333333333,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3762483706418323,0.0,1,0,1,1,0.54856646,0.2045156037,1.0,10
GKTWGGQPFAXNFI,Myocardial Infarction,0.13333333333333333,0.13333333333333333,0.0,4.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1,0.4356023,0.18168692160000002,0.0,10
IAKHMKGGTNLKSZ,Heart Failure,0.06666666666666667,0.1,-0.03333333333333333,0.26666666666666666,5,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0.79640526,0.36967885150000007,3.0,10
IAKHMKGGTNLKSZ,venous thromboembolism,0.03333333333333333,0.26666666666666666,-0.23333333333333334,0.26666666666666666,2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0.7271905,0.307199234,3.0,10
IAKHMKGGTNLKSZ,pneumonia,0.03333333333333333,0.13333333333333333,-0.1,0.26666666666666666,7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0.45561492,0.20202591390000002,0.0,10
KTEIFNKAUNYNJU,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,11.833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,,,,0
KTEIFNKAUNYNJU,Non-Small Cell Lung Cancer,0.9,0.7333333333333333,0.16666666666666666,11.833333333333334,26,1.0,0.48192219376726453,0.0,0.951883250002906,0.979400228199195,0.48952874318965406,0.0,5,1,1,1,0.7743858,0.46563516299999996,6.0,10
KTEIFNKAUNYNJU,Metastatic Uveal Melanoma,0.8333333333333334,0.6666666666666666,0.16666666666666666,11.833333333333334,25,0.9615384615384616,0.0,0.0,0.8930646439182859,0.0,0.0,0.0,5,0,1,1,0.69520795,0.34156901230000003,3.0,10
CMSMOCZEIVJLDB,Follicular Lymphoma,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.79338515,0.29021533855,3.0,10
CMSMOCZEIVJLDB,Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.71659887,0.15643028944,1.0,10
CMSMOCZEIVJLDB,Eosinophilic Granulomatosis With Polyangiitis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.65999687,0.2208489598,1.0,10
CMSMOCZEIVJLDB,Graft-versus-host Disease (GVHD),0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.53671545,0.13796868359999997,1.0,10
CMSMOCZEIVJLDB,Multiple Sclerosis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.81138855,0.476792997,4.0,10
