row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
2067,NCT01651182,Tranexamic Acid,NC[C@H]1CC[C@H](C(=O)O)CC1,0.10452844339455603,0.14387957319496017,0.2346582417790994,0.5143751361479306
2068,NCT02125890,Tranexamic Acid,NC[C@H]1CC[C@H](C(=O)O)CC1,0.10452844339455603,0.14387957319496017,0.23465824177909936,0.5143751361479305
2069,NCT02187120,Tranexamic Acid,NC[C@H]1CC[C@H](C(=O)O)CC1,0.10452844339455603,0.14387957319496017,0.2346582417790994,0.5143751361479306
2070,NCT02393300,Tranexamic Acid,NC[C@H]1CC[C@H](C(=O)O)CC1,0.10452844339455603,0.14387957319496017,0.2346582417790994,0.5143751361479306
2071,NCT02022930,Triamcinolone Acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.23095737744162897,0.4026771920674624,0.08305438935315082,0.5142485186012704
2072,NCT02873026,Triamcinolone Acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.23095737744162897,0.4026771920674624,0.08305438935315082,0.5142485186012704
2073,NCT02207829,Umeclidinium,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,0.16722071870417654,0.3205792349116727,0.30380628398076587,0.5364216817347335
2074,NCT01987895,Vancomycin,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0.6093299284988885,0.39149112328834507,0.15259120837615806,0.3311040057576751
2075,NCT02284126,Vancomycin,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0.6093299284988885,0.39149112328834507,0.15259120837615806,0.3311040057576751
2076,NCT02005471,Venetoclax,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.774276517130451,0.6279533033626841,0.3300739019985631,0.36680226396770366
