aact_name,pref_name,ik14,standard_inchi_key
5 mg amlodipine,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Pramipexole 0.5 mg tablets,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Sulpiride (drug),SULPIRIDE,BGRJTUBHPOOWDU,BGRJTUBHPOOWDU-UHFFFAOYSA-N
Methylphenidate (OROS-MPH),METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
methylphenidate HCl,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Ritalin (methylphenidate),METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
Adriamycin (Doxorubicin),DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
L-arabinose,L-ARABINOSE,SRBFZHDQGSBBOR,SRBFZHDQGSBBOR-QMKXCQHVSA-N
"2S, 4R Ketoconazole (DIO-902)",LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
Dexmethylphenidate HCl extended-release capsules,DEXMETHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-CHWSQXEVSA-N
Dexelvucitabine,DEXELVUCITABINE,HSBKFSPNDWWPSL,HSBKFSPNDWWPSL-CAHLUQPWSA-N
Levocetirizine tablets,LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
Levocetirizine drops,LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
SDX-101 (R-Etodolac),SDX-101,NNYBQONXHNTVIJ,NNYBQONXHNTVIJ-QGZVFWFLSA-N
baclofen (drug),BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
Pramipexole (Mirapex),PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Clomiphene Citrate 50 mg,ENCLOMIPHENE CITRATE,PYTMYKVIJXPNBD,PYTMYKVIJXPNBD-BTKVJIOYSA-N
Clomiphene Citrate 100 mg,ENCLOMIPHENE CITRATE,PYTMYKVIJXPNBD,PYTMYKVIJXPNBD-BTKVJIOYSA-N
Provigil (modafinil),MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
DatSCAN,IOFLUPANE I 123,HXWLAJVUJSVENX,HXWLAJVUJSVENX-HFIFKADTSA-N
nadifloxacin,NADIFLOXACIN,JYJTVFIEFKZWCJ,JYJTVFIEFKZWCJ-UHFFFAOYSA-N
D-Amphetamine 60mg,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
D-Amphetamine 30mg,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
D-serine (~2g/day),(D)-SERINE,MTCFGRXMJLQNBG,MTCFGRXMJLQNBG-UWTATZPHSA-N
D-serine (~2g /day),(D)-SERINE,MTCFGRXMJLQNBG,MTCFGRXMJLQNBG-UWTATZPHSA-N
citalopram (celexa),CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
PROVIGIL 200 mg,MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Armodafinil 250 mg,ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
Armodafinil 200 mg,ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
Armodafinil 150 mg,ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
Eszopiclone (Lunesta),ESZOPICLONE,GBBSUAFBMRNDJC,GBBSUAFBMRNDJC-INIZCTEOSA-N
CONCERTA (OROS methylphenidate hydrochloride),METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
armodafinil (Nuvigil),ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
