molregno,gene
545956,SLC6A3
78902,SLC6A3
674338,SLC6A3
23199,SLC6A3
674733,SLC6A3
1926820,SLC6A3
2197715,SLC6A3
543703,SLC6A3
675129,SLC6A3
552883,SLC6A3
49842,SLC6A3
1355754,SLC6A3
674434,SLC6A3
699406,OPRM1
2197697,OPRM1
548913,OPRM1
699416,OPRM1
674482,OPRM1
674550,OPRM1
674616,OPRM1
675110,OPRM1
30072,OPRM1
674841,OPRM1
1376014,OPRM1
2197587,OPRM1
435293,OPRM1
547402,OPRM1
674776,OPRM1
699455,OPRM1
2197639,OPRM1
1355857,OPRM1
675071,OPRM1
675721,OPRM1
675114,OPRM1
19915,OPRM1
674768,OPRM1
1543312,OPRM1
674998,OPRM1
518361,OPRM1
674494,OPRM1
675728,OPRM1
76963,OPRM1
446784,OPRM1
1355867,OPRM1
267825,COMT
92412,COMT
353902,ACHE
508667,ACHE
674884,ACHE
54149,ACHE
443255,ACHE
119717,ACHE
167875,ACHE
674318,ACHE
674465,ACHE
674492,ACHE
39624,ACHE
2335926,FSHR
675507,FSHR
2832777,FSHR
1376138,KDR
2832031,SSTR3
43740,ddl
675506,GHRHR
1383724,GHRHR
6317,CYP11A1
504310,CYP11A1
27229,NR3C1
674796,NR3C1
675124,NR3C1
675700,NR3C1
27152,NR3C1
374052,NR3C1
419622,NR3C1
439720,NR3C1
641189,NR3C1
674446,NR3C1
674551,NR3C1
674586,NR3C1
674713,NR3C1
674816,NR3C1
674860,NR3C1
27370,NR3C1
421058,NR3C1
674293,NR3C1
674335,NR3C1
674489,NR3C1
1337005,NR3C1
675032,NR3C1
675060,NR3C1
674337,NR3C1
674451,NR3C1
674496,NR3C1
674828,NR3C1
674859,NR3C1
674919,NR3C1
675015,NR3C1
27575,NR3C1
381691,NR3C1
419542,NR3C1
508532,NR3C1
591037,NR3C1
674327,NR3C1
674400,NR3C1
674513,NR3C1
674683,NR3C1
674940,NR3C1
674965,NR3C1
150313,NR3C1
187696,NR3C1
954312,NR3C1
515027,NR3C1
674725,NR3C1
674829,NR3C1
674926,NR3C1
675099,NR3C1
1347273,NR3C1
105252,NR3C1
182546,NR3C1
313314,NR3C1
365281,NR3C1
419410,NR3C1
487711,NR3C1
674568,NR3C1
788028,NR3C1
674904,NR3C1
674963,NR3C1
401141,NR3C1
712273,NR3C1
65494,pol
85233,pol
390877,pol
417163,pol
74911,pol
374719,pol
27307,pol
2341159,pol
4345,pol
107119,pol
1051355,pol
113138,pol
33986,pol
675093,MAOB
674855,MAOB
96021,MAOB
675480,CD2
675684,LCK
436875,AMY2A
442013,NR1H4
404691,NR1H4
392195,OXTR
674291,NA
373806,NA
549674,M
675697,DHFR
1737244,DHFR
1537653,DHFR
121124,DRD1
674794,DRD1
122901,UGCG
361469,EPHA2
675467,ESR1
47340,ESR1
342897,ESR1
27626,ESR1
674381,ESR1
421038,ESR1
1675249,ESR1
31241,ESR1
117108,ESR1
674924,ESR1
674931,ESR1
675102,ESR1
860,ESR1
674700,SCN4A
150882,SCN4A
674347,SCN4A
341382,SCN4A
445681,MGAM
436875,MGAM
675599,SLC6A2
1382808,SLC6A2
161281,SLC6A2
675476,SLC6A2
699486,SLC6A2
1673434,SLC6A2
453532,SLC6A2
1051125,SLC6A2
545075,SLC6A2
624251,SLC6A2
289505,SLC6A2
547576,SLC6A2
674863,SLC6A2
1926755,SLC6A2
675686,SLC6A2
675679,SLC6A2
78902,SLC6A2
23199,SLC6A2
674733,SLC6A2
1926820,SLC6A2
2197715,SLC6A2
543703,SLC6A2
674434,SLC6A2
674328,SLC6A2
2197716,SLC6A2
155045,SLC6A2
8838,SLC6A2
674279,SLC6A2
543,SLC6A2
2197726,SLC6A2
674915,SLC6A2
674283,SLC6A2
674338,SLC6A2
545956,SLC6A2
2335035,SLC6A2
49842,SLC6A2
552883,SLC6A2
674443,SLC6A2
675107,SLC6A2
674974,SLC6A2
674346,SLC6A2
674675,SLC6A2
1355754,SLC6A2
674646,SLC6A2
675728,SLC6A2
543658,SLC6A2
675129,SLC6A2
674899,SLC6A2
675017,SLC6A2
20346,CXCR4
1381331,F8
1341084,BDKRB2
62111,HCK
1085,CA12
1125,CA12
674765,CA12
445681,GAA
675684,FGFR3
316787,GSR
10840,GSR
1158402,JAK1
1378011,MAP2K2
1158402,JAK2
675726,PAH
1369610,FN1
2464648,SLC5A2
62111,LYN
3283471,PGA5
425650,TRPM8
340684,pol
470800,pol
438435,CYP17A1
1378011,MAP2K1
1381331,F5
675684,FGFR1
1277553,FGFR1
674858,HSD3B2
22391,PTGER3
1376138,MET
602271,MET
1085,CA4
1124,CA4
366279,CA4
1125,CA4
674765,CA4
1369608,ADRB3
1277553,MAPK11
1537653,GART
1380450,CFTR
1331852,CFTR
674650,MMP7
1540465,MMP7
2197611,MMP7
675772,FGFR2
1277553,FGFR2
1277553,FRK
602271,ALK
315123,KCNN4
393942,TMP1
1158403,CACNA1B
674650,MMP8
1540465,MMP8
2197611,MMP8
674650,MMP13
1540465,MMP13
2197611,MMP13
33576,PTK6
364859,KCNJ8
91783,TRPV1
674650,MMP1
2197611,MMP1
1540465,MMP1
252155,CACNA1B
1277553,DDR2
1377999,BRAF
1277553,BRAF
674436,BRAF
691867,BRAF
485738,NS5b
674563,SCN10A
1377257,GLP2R
675085,CLCN2
328153,PGR
428747,PGR
675090,PGR
675097,PGR
34608,PGR
187962,PGR
674799,PGR
674804,PGR
12825,PGR
1380067,PGR
674885,PGR
328164,PGR
429174,PGR
431376,PGR
674758,PGR
674575,PGR
712273,PGR
421032,PGR
405364,PGR
460092,SMO
425650,TRPA1
60232,SLC22A12
1277553,TEK
33576,TEK
1121853,PGF
77474,SLC22A6
77474,SLC22A8
685974,GRIA4
685974,GRIA3
685974,GRIA2
685974,GRIA1
366279,GRIA4
366279,GRIA3
366279,GRIA2
366279,GRIA1
93617,EDNRB
93617,EDNRA
154051,EDNRB
154051,EDNRA
77474,SLC22A11
675444,CHRNB2
675444,CHRNA4
115,CHRNB2
115,CHRNA4
3283463,CHRNB2
3283463,CHRNA4
1763646,GUCY2C
28699,FDPS
494630,FDPS
2341540,FDPS
2197440,FDPS
2197272,FDPS
9495,HMGCR
674514,HMGCR
699412,HMGCR
1449167,HMGCR
1123018,HMGCR
30602,HMGCR
407354,HMGCR
138562,HMGCR
150549,PDE4A
150549,PDE4D
150549,PDE4B
150549,PDE4C
581819,PDE4A
581819,PDE4D
581819,PDE4B
581819,PDE4C
321696,PDE4A
321696,PDE4D
321696,PDE4B
321696,PDE4C
779620,PDE4A
779620,PDE4D
779620,PDE4B
779620,PDE4C
674529,PDE4A
674529,PDE4D
674529,PDE4B
674529,PDE4C
674826,PDE4A
674826,PDE4D
674826,PDE4B
674826,PDE4C
794445,PDE4A
794445,PDE4D
794445,PDE4B
794445,PDE4C
246935,HDAC1
246935,HDAC3
246935,HDAC6
246935,HDAC2
246935,HDAC5
246935,HDAC7
246935,HDAC8
246935,HDAC11
246935,HDAC4
246935,HDAC9
246935,HDAC10
675571,ESR2
675571,ESR1
675552,ESR2
675552,ESR1
675621,ESR2
675621,ESR1
675596,ESR2
675596,ESR1
1377665,ESR2
1377665,ESR1
674549,ESR2
674549,ESR1
675116,ESR2
675116,ESR1
304798,ESR1
674626,ESR2
674626,ESR1
675576,ITGB3
675576,ITGA2B
191902,ITGB3
191902,ITGA2B
1678363,ITGB3
1678363,ITGA2B
419601,ATP4A
419601,ATP4B
675812,ATP4A
675812,ATP4B
991212,ATP4A
991212,ATP4B
674881,ATP4A
674881,ATP4B
2197430,ATP4A
2197430,ATP4B
5975,ATP4A
5975,ATP4B
674421,ATP4A
674421,ATP4B
2832017,ATP4A
2832017,ATP4B
1096,CA2
1096,CA7
1096,CA1
1096,CA3
1096,CA6
1096,CA12
1096,CA14
1096,CA9
1096,CA4
1096,CA13
1096,CA5B
1096,CA5A
675466,OPRK1
675466,OPRD1
675466,OPRM1
675465,OPRK1
675465,OPRD1
675465,OPRM1
674745,OPRK1
674745,OPRD1
674745,OPRM1
21459,OPRK1
21459,OPRD1
21459,OPRM1
3283133,OPRK1
3283133,OPRD1
3283133,OPRM1
2335062,OPRK1
2335062,OPRD1
2335062,OPRM1
675100,OPRK1
675100,OPRD1
675100,OPRM1
675083,OPRK1
675083,OPRD1
675083,OPRM1
551147,OPRK1
551147,OPRD1
551147,OPRM1
2197548,OPRK1
2197548,OPRD1
2197548,OPRM1
1121953,TUBB4B
1121953,TUBB1
1121953,TUBA3C
1121953,TUBA4A
1121953,TUBB3
1121953,TUBA1A
1121953,TUBB4A
1121953,TUBB8
1121953,TUBB
1121953,TUBA1B
1121953,TUBA1C
1121953,TUBA3E
1121953,TUBB2A
1121953,TUBB2B
1121953,TUBB6
1121865,TUBB4B
1121865,TUBB1
1121865,TUBA3C
1121865,TUBA4A
1121865,TUBB3
