IK14,Disease,mendel_clinvar,mendel_ot_causal,mendel_max,depmap_dep_lin,depmap_selectivity,mi_raw,mi_within_disease_pct,mi_genetics,_depmap_has,_mi_route
XUZMWHLSFXCVMG,pneumonia,0.0,0.0,0.0,0.0,0.0,0.6778268833972223,1.0,0.6778268833972223,0,genetics
YTKUWDBFDASYHO,Follicular Lymphoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
YTKUWDBFDASYHO,Chronic Lymphocytic Leukemia,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0,genetics
YTKUWDBFDASYHO,Hodgkin Lymphoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
YTKUWDBFDASYHO,Mantle Cell Lymphoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
YBHILYKTIRIUTE,Hyperlipidemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
UREBDLICKHMUKA,allergic rhinitis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
UREBDLICKHMUKA,Chronic pain,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
MAEIEVLCKWDQJH,Cirrhosis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
LEBVLXFERQHONN,atrial fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,genetics
LEBVLXFERQHONN,Lung Cancer,0.0,0.0,0.0,0.013911693530755484,-0.022456866466038346,-0.013911693530755484,0.0,0.0,1,depmap
LEBVLXFERQHONN,Stroke,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
LEBVLXFERQHONN,Breast Cancer,0.0,0.0,0.0,0.02350432105482655,-0.012864238941967279,-0.02350432105482655,0.11538461538461539,0.0,1,depmap
LEBVLXFERQHONN,PTSD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
LEBVLXFERQHONN,Pain Management,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
SNPPWIUOZRMYNY,obesity,0.0,0.0,0.0,0.0,0.0,0.4047147302399964,0.5,0.4047147302399964,0,genetics
SNPPWIUOZRMYNY,Breast Cancer,0.0,0.0,0.0,-0.05742544803736114,0.002655511950134859,0.05742544803736114,0.4230769230769231,0.0,1,depmap
QWCRAEMEVRGPNT,generalized anxiety disorder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
ONIQOQHATWINJY,renal cell carcinoma,1.0,0.9813019915695471,1.0,-0.11003285764535325,0.004569741988616011,0.11003285764535325,1.0,0.949676099766488,1,depmap
ONIQOQHATWINJY,Hepatocellular Carcinoma,1.0,0.8897742701710087,1.0,-0.17313501379073803,-0.05853241415676877,0.17313501379073803,0.0,0.8247946631505852,1,depmap
ONIQOQHATWINJY,Cancer,0.0,0.9915036892274586,0.9915036892274586,0.0,0.0,0.9701286179166936,1.0,0.9701286179166936,0,genetics
RYYVLZVUVIJVGH,Alzheimer disease,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
QHMBSVQNZZTUGM,Bipolar Disorder,0.0,0.0,0.0,0.0,0.0,0.2881217710005117,0.3333333333333333,0.2881217710005117,0,genetics
QHMBSVQNZZTUGM,Alcohol Use Disorder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
QHMBSVQNZZTUGM,insomnia,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,genetics
GAGWJHPBXLXJQN,Advanced Breast Cancer,0.0,0.0,0.0,-1.1965408302856364,-0.4040056108861245,1.1965408302856364,0.8571428571428571,0.0,1,depmap
GAGWJHPBXLXJQN,Nasopharyngeal Carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
GAGWJHPBXLXJQN,Colorectal Cancer,0.0,0.0,0.0,-0.7327040841249612,0.05983113527455064,0.7327040841249612,1.0,0.0,1,depmap
GAGWJHPBXLXJQN,colorectal carcinoma,0.0,0.0,0.0,-0.7327040841249612,0.05983113527455064,0.7327040841249612,1.0,0.0,1,depmap
GAGWJHPBXLXJQN,Colon Cancer,0.0,0.0,0.0,-0.7327040841249612,0.05983113527455064,0.7327040841249612,1.0,0.0,1,depmap
GAGWJHPBXLXJQN,Triple Negative Breast Cancer,0.0,0.0,0.0,-1.1965408302856364,-0.4040056108861245,1.1965408302856364,0.5,0.0,1,depmap
GAGWJHPBXLXJQN,Gastric Carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
GAGWJHPBXLXJQN,Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
GAGWJHPBXLXJQN,Hepatocellular Carcinoma,0.0,0.0,0.0,-0.7189792516404,0.07355596775911188,0.7189792516404,1.0,0.0,1,depmap
GAGWJHPBXLXJQN,Pancreatic Cancer,0.0,0.0,0.0,-1.1877833202112835,-0.39524810081177164,1.1877833202112835,0.6666666666666666,0.0,1,depmap
GAGWJHPBXLXJQN,Anal Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YAYRGNWWLMLWJE,NSCLC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YAYRGNWWLMLWJE,Non-Small Cell Lung Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
