row_idx,y,p,NCT_ID,safety_cytotoxic_cap,cap_reason,p_adj
2646,0,7.91619756145518e-05,NCT01559116,0,,7.91619756145518e-05
2647,0,0.00044461144432278254,NCT01458951,0,,0.00044461144432278254
2648,0,0.00044461144432278254,NCT01465763,0,,0.00044461144432278254
2649,0,0.000366093608963496,NCT02179268,0,,0.000366093608963496
2651,0,0.0023512110635932376,NCT04578496,0,,0.0023512110635932376
2653,0,2.2145704288020558e-05,NCT01736514,0,,2.2145704288020558e-05
2654,0,2.269911212336409e-05,NCT02082769,0,,2.269911212336409e-05
2655,0,0.0006345651917358622,NCT01456130,0,,0.0006345651917358622
2656,0,0.0006050142094876536,NCT01399723,0,,0.0006050142094876536
2657,0,0.0849927936186233,NCT01529528,0,,0.0849927936186233
2658,0,0.05156237901382062,NCT01529541,0,,0.05156237901382062
2660,0,0.00022246830320991274,NCT01244828,0,,0.00022246830320991274
2661,0,0.01843974152684969,NCT01349907,0,,0.01843974152684969
2662,0,0.0662209174391845,NCT01278459,0,,0.0662209174391845
2663,0,0.001866956644846918,NCT01370603,0,,0.001866956644846918
2664,0,0.002804734948768419,NCT01251393,0,,0.002804734948768419
2665,0,0.00019730263919949298,NCT01425203,0,,0.00019730263919949298
2666,0,0.017347293570506638,NCT01338415,0,,0.017347293570506638
2667,0,6.819510943669145e-05,NCT01339559,0,,6.819510943669145e-05
2668,0,4.6608870263701846e-05,NCT01360021,0,,4.6608870263701846e-05
2669,0,0.0002539344386344567,NCT01407575,0,,0.0002539344386344567
2670,0,0.00286941368779632,NCT01303861,0,,0.00286941368779632
2671,0,0.00286941368779632,NCT01406223,0,,0.00286941368779632
2672,0,0.0006414283556602016,NCT01384539,0,,0.0006414283556602016
2674,0,0.011581982012790672,NCT01234337,1,cytotoxic_managed_toxicity,0.011581982012790672
2675,0,3.634507980102944e-05,NCT01412060,0,,3.634507980102944e-05
2676,0,0.00012494479217558578,NCT01503606,0,,0.00012494479217558578
2677,0,1.1244437097214567e-05,NCT01371838,0,,1.1244437097214567e-05
2678,0,0.0002718601698732207,NCT01354145,0,,0.0002718601698732207
2679,0,0.004494337297630151,NCT01462435,0,,0.004494337297630151
2680,0,4.21148821343564e-05,NCT01484119,0,,4.21148821343564e-05
2681,0,0.0004980021433584804,NCT01292720,0,,0.0004980021433584804
2682,0,0.0005197556976774332,NCT01384539,0,,0.0005197556976774332
2683,0,7.112437544382305e-05,NCT01248065,0,,7.112437544382305e-05
2684,0,3.662547635913859e-05,NCT01455194,0,,3.662547635913859e-05
2685,0,0.0009053555067806889,NCT02266030,0,,0.0009053555067806889
2687,0,0.8122054214781185,NCT01471444,1,cytotoxic_managed_toxicity,0.15
2688,0,0.587290352562924,NCT02085408,1,cytotoxic_managed_toxicity,0.15
2689,0,0.009901234778620984,NCT01439984,0,,0.009901234778620984
2691,0,0.0008752213286059813,NCT01505790,0,,0.0008752213286059813
2692,0,0.03304487260597624,NCT01515345,0,,0.03304487260597624
2693,0,0.00028287665988922214,NCT01389323,0,,0.00028287665988922214
2694,0,0.00028287665988922214,NCT01471574,0,,0.00028287665988922214
2695,0,0.04331864154875516,NCT01339091,0,,0.04331864154875516
2696,0,0.00040623193010321115,NCT01294423,0,,0.00040623193010321115
2697,0,9.500899644506456e-05,NCT01294436,0,,9.500899644506456e-05
2698,0,0.03733418408535778,NCT01303796,1,cytotoxic_managed_toxicity,0.03733418408535778
2699,0,0.03733418408535778,NCT02085408,1,cytotoxic_managed_toxicity,0.03733418408535778
2700,0,1.2907693473814207e-05,NCT01400828,0,,1.2907693473814207e-05
2701,0,0.00023653226817498744,NCT01154192,0,,0.00023653226817498744
2702,0,2.802925072884709e-05,NCT01189292,0,,2.802925072884709e-05
2703,0,5.733080703936783e-05,NCT01248585,0,,5.733080703936783e-05
2704,0,7.579435114274593e-05,NCT01297010,0,,7.579435114274593e-05
2705,0,1.0199191823774926e-05,NCT01339260,0,,1.0199191823774926e-05
2706,0,1.2370009998225596e-05,NCT01363479,0,,1.2370009998225596e-05
2707,0,1.3153742615777558e-05,NCT01376297,0,,1.3153742615777558e-05
2709,0,2.910977512620537e-05,NCT01408082,0,,2.910977512620537e-05
2710,0,0.030608249916666212,NCT01456611,0,,0.030608249916666212
2711,0,0.0006171829693018239,NCT01461369,0,,0.0006171829693018239
2712,0,0.007558048504173473,NCT01264939,0,,0.007558048504173473
2713,0,3.8459689403754006e-05,NCT01263015,0,,3.8459689403754006e-05
2714,0,0.09657040946447193,NCT01179672,0,,0.09657040946447193
2715,0,0.09021360602833497,NCT01226511,0,,0.09021360602833497
2717,0,0.0003337656665670364,NCT01271894,0,,0.0003337656665670364
2718,0,0.0003337656665670364,NCT01451333,0,,0.0003337656665670364
2719,0,0.0009171886186640641,NCT01470144,0,,0.0009171886186640641
2720,0,0.2917978233399069,NCT01454934,0,,0.2917978233399069
2721,0,0.008179781075574847,NCT01370616,0,,0.008179781075574847
2722,0,0.0055154525354969815,NCT01370525,0,,0.0055154525354969815
2723,0,0.0055154525354969815,NCT01370538,0,,0.0055154525354969815
2724,0,2.8118883407096157e-05,NCT01100164,0,,2.8118883407096157e-05
2725,0,0.22800733772463655,NCT01450761,1,cytotoxic_managed_toxicity,0.15
2726,0,0.02192842462414937,NCT01229774,0,,0.02192842462414937
2727,0,0.009387611031011817,NCT01462370,0,,0.009387611031011817
2728,0,0.0001258489675351852,NCT01408186,0,,0.0001258489675351852
2729,0,4.234565407593969e-05,NCT01270659,0,,4.234565407593969e-05
