NCT_ID,Disease,y,p,p_adj,is_offmech
NCT02204332,Metastatic Colorectal Cancer,1,0.3683964563895475,0.3683964563895475,0
NCT01980199,Visceral Leishmaniasis,1,0.39664794199323294,0.39664794199323294,0
NCT01777256,Systemic Lupus Erythematosus,1,0.9951999958056701,0.9951999958056701,0
NCT01798485,NSCLC,1,0.7706125384297149,0.7706125384297149,0
NCT01805791,Ulcerative Colitis,1,0.027873159135241445,0.027873159135241445,0
NCT01774604,Post-ERCP Acute Pancreatitis,1,0.5777618983448252,0.5777618983448252,0
NCT01862224,Rheumatoid Arthritis,1,0.7051802870780847,0.7051802870780847,0
NCT01849874,Peritoneal Cancer,1,0.5238650865239648,0.5238650865239648,0
NCT01852110,Alzheimer's Disease,1,0.9978864983752039,0.9978864983752039,0
NCT01794000,Sickle Cell Disease,1,0.1418151957226097,0.1418151957226097,0
NCT01865084,"Muscular Dystrophy, Duchenne",1,0.9063200854737243,0.9063200854737243,1
NCT01907815,Acute Myeloid Leukemia,1,0.9878679591052674,0.9878679591052674,0
NCT01944943,cell Lymphoma,1,0.9161164927120197,0.9161164927120197,0
NCT01870609,Malignant Pleural Mesothelioma,1,0.4187528864072426,0.4187528864072426,0
NCT01318642,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,1,0.4792815365888242,0.4792815365888242,0
NCT01646125,NSCLC,1,0.7552773677912313,0.7552773677912313,0
NCT01571895,Bullous Pemphigoid,1,0.4807566608557804,0.4807566608557804,0
NCT01514864,Advanced Cancer,1,0.6488994325497803,0.6488994325497803,0
NCT01719861,Lung Cancer,1,0.5723576336852262,0.5723576336852262,0
NCT01975727,Postoperative Nausea and Vomiting; Vomiting,1,0.46064215745200776,0.46064215745200776,0
NCT01687998,Cardiovascular Diseases,1,0.5873328223499492,0.5873328223499492,0
NCT01679951,Rheumatoid Arthritis,1,0.5976008819868573,0.5976008819868573,0
NCT01687478,Treatment-resistant Depression,1,0.6190212411183011,0.6190212411183011,0
NCT01771198,Rhinosinusitis,1,0.4438158753636062,0.4438158753636062,0
NCT01709734,Prostate Cancer,1,0.0636287021731714,0.0636287021731714,0
NCT01385293,Prostate Cancer,1,0.5412221579538066,0.5412221579538066,0
NCT01316939,Crohn's Disease,1,0.6295555818861062,0.6295555818861062,0
NCT01405846,Lung Cancer; Head and Neck Cancer,1,0.46667847034941234,0.46667847034941234,0
NCT01103583,Multiple Sclerosis,1,0.06021715494355996,0.06021715494355996,0
NCT01467076,newborn respiratory distress syndrome,1,0.5194100999120534,0.5194100999120534,0
NCT01275248,Obsessive-compulsive Disorder,1,0.5463290424915479,0.5463290424915479,0
NCT01391611,Gastrointestinal Stromal Tumor (GIST),1,0.7963362695581324,0.7963362695581324,0
NCT01287221,Multiple System Atrophy,1,0.31899924499206067,0.31899924499206067,0
NCT01244191,Lung Cancer,1,0.8384268748217014,0.8384268748217014,0
NCT01362348,wet macular degeneration,1,0.725353492359222,0.725353492359222,0
NCT01130246,Acute Coronary Syndrome,1,0.008419212778447517,0.008419212778447517,0
NCT01205828,Liver Cancer,1,0.9963043146238565,0.9963043146238565,0
NCT01059448,rheumatoid arthritis,1,0.39057291521198934,0.39057291521198934,0
NCT01151215,Breast Cancer,1,0.19334011354186104,0.19334011354186104,0
NCT01285310,Patients With Rheumatoid Arthritis,1,0.6828201173936386,0.6828201173936386,0
NCT01251354,Endometrial Cancer,1,0.8414120966497747,0.8414120966497747,0
